deploymentNumber,CUID_Deploy,deployedBy,CUID_Recover,recoveredBy,Reference Designator,versionNumber,startDateTime,stopDateTime,mooring.uid,node.uid,sensor.uid,lat,lon,orbit,deployment_depth,water_depth,notes
3,TN-342,,,,CE02SHSM-RID27-01-OPTAAD000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGINS-NUTNRB-00267,44.63565,-124.30427,,7,80,
3,TN-342,,,,CE02SHSM-RID27-02-FLORTD000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGINS-FLORTD-01152,44.63565,-124.30427,,7,80,
3,TN-342,,,,CE02SHSM-RID27-03-CTDBPC000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGINS-CTDBPC-50057,44.63565,-124.30427,,7,80,
3,TN-342,,,,CE02SHSM-RID27-04-DOSTAD000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGINS-DOSTAD-00313,44.63565,-124.30427,,7,80,
3,TN-342,,,,CE02SHSM-SBC11-00-CPMENG000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGCON-BCPM01-50007,44.63565,-124.30427,,0,80,
3,TN-342,,,,CE02SHSM-SBD11-00-DCLENG000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGCON-BDCL11-50007,44.63565,-124.30427,,0,80,
3,TN-342,,,,CE02SHSM-SBD11-01-MOPAK0000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGINS-MOPAK0-43250,44.63565,-124.30427,,0,80,
3,TN-342,,,,CE02SHSM-SBD11-02-HYDGN0000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGINS-HYDGN0-42315,44.63565,-124.30427,,0,80,
3,TN-342,,,,CE02SHSM-SBD11-04-VELPTA000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGINS-VELPTA-11780,44.63565,-124.30427,,1,80,
3,TN-342,,,,CE02SHSM-SBD11-06-METBKA000,1,2016-05-17T21:23:00,2016-09-28T15:52:00,CGMCE-02SHSM-00003,,CGINS-METLGR-00029,44.63565,-124.30427,,-3,80,
