deploymentNumber,Reference Designator,sensor.uid,startDateTime,stopDateTime,lat,lon,mooring.uid,CUID_Deploy,node.uid,versionNumber,deployedBy,CUID_Recover,recoveredBy,orbit,deployment_depth,water_depth,notes,electrical.uid,assembly_template_revision
4,CE06ISSP-SP001-09-CTDPFJ000,CGINS-CTDPFJ-00308,2016-05-13T17:48:00,2016-07-20T00:00:00,47.135,-124.26966,CGMCE-06ISSP-00004,TN-342,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
4,CE06ISSP-SP001-10-PARADJ000,CGINS-PARADJ-00365,2016-05-13T17:48:00,2016-07-20T00:00:00,47.135,-124.26966,CGMCE-06ISSP-00004,TN-342,CGVEH-CSPPCE-00001,1,,,,,29,29,nominal_depth,,
5,CE06ISSP-SP001-00-SPPENG000,CGCON-CSPPCE-00006,2016-07-20T15:30:00,2016-09-23T23:22:00,47.136,-124.2693,CGMCE-06ISSP-00005,JR-1607,CGVEH-CSPPCE-00006,1,,,,,29,29,nominal_depth,,
5,CE06ISSP-SP001-02-DOSTAJ000,CGINS-DOSTAJ-00209,2016-07-20T15:30:00,2016-09-23T23:22:00,47.136,-124.2693,CGMCE-06ISSP-00005,JR-1607,CGVEH-CSPPCE-00006,1,,,,,29,29,nominal_depth,,
5,CE06ISSP-SP001-04-OPTAAJ000,CGINS-OPTAAD-00174,2016-07-20T15:30:00,2016-09-23T23:22:00,47.136,-124.2693,CGMCE-06ISSP-00005,JR-1607,CGVEH-CSPPCE-00006,1,,,,,29,29,nominal_depth,,
5,CE06ISSP-SP001-05-VELPTJ000,CGINS-VELPTJ-11900,2016-07-20T15:30:00,2016-09-23T23:22:00,47.136,-124.2693,CGMCE-06ISSP-00005,JR-1607,CGVEH-CSPPCE-00006,1,,,,,29,29,nominal_depth,,
5,CE06ISSP-SP001-06-NUTNRJ000,CGINS-NUTNRJ-00337,2016-07-20T15:30:00,2016-09-23T23:22:00,47.136,-124.2693,CGMCE-06ISSP-00005,JR-1607,CGVEH-CSPPCE-00006,1,,,,,29,29,nominal_depth,,
5,CE06ISSP-SP001-07-SPKIRJ000,CGINS-SPKIRJ-00252,2016-07-20T15:30:00,2016-09-23T23:22:00,47.136,-124.2693,CGMCE-06ISSP-00005,JR-1607,CGVEH-CSPPCE-00006,1,,,,,29,29,nominal_depth,,
5,CE06ISSP-SP001-08-FLORTJ000,CGINS-FLORTJ-01156,2016-07-20T15:30:00,2016-09-23T23:22:00,47.136,-124.2693,CGMCE-06ISSP-00005,JR-1607,CGVEH-CSPPCE-00006,1,,,,,29,29,nominal_depth,,
5,CE06ISSP-SP001-09-CTDPFJ000,CGINS-CTDPFJ-00349,2016-07-20T15:30:00,2016-09-23T23:22:00,47.136,-124.2693,CGMCE-06ISSP-00005,JR-1607,CGVEH-CSPPCE-00006,1,,,,,29,29,nominal_depth,,
5,CE06ISSP-SP001-10-PARADJ000,CGINS-PARADJ-00412,2016-07-20T15:30:00,2016-09-23T23:22:00,47.136,-124.2693,CGMCE-06ISSP-00005,JR-1607,CGVEH-CSPPCE-00006,1,,,,,29,29,nominal_depth,,
