,ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments,MIO,RCA,In Asset Tracking
335,ATOSU-58332-00003,CGINS-OPTAAD-00128,Sensor,0,Spectrophotometer: OPTAA Series D,AC-S (optical attenuation and absorption instrument w/ biofouling/pump) per OPTAA delivery order,WET Labs,AC-S,ACS-128,,,41000.0,,,False,False
336,ATOSU-58332-00007,ATOSU-58332-00007,Sensor,0,Spectrophotometer: OPTAA Series D,AC-S (optical attenuation and absorption instrument w/ biofouling/pump) per OPTAA delivery order,WET Labs,AC-S,ACS-223,,,41000.0,,,False,False
337,ATOSU-58332-00008,ATOSU-58332-00008,Sensor,0,Spectrophotometer: OPTAA Series D,OPTAA SERIES D,WET Labs,AC-S,ACS-221,,20150501.0,40133.75,,,False,False
338,ATOSU-58332-00009,ATOSU-58332-00009,Sensor,0,Spectrophotometer: OPTAA Series D,OPTAA-D,WET Labs,AC-S,ACS-169,,,,,,False,False
339,ATOSU-58336-00005,ATOSU-58336-00005,Sensor,0,pCO2 Water: PCO2W Series A,PCO2W SERIES A (SAMI-CO2),Sunburst Sensors,SAMI-pCO2,C0078,,20140109.0,17942.3,,,False,False
340,ATOSU-58336-00006,ATOSU-58336-00006,Sensor,0,pCO2 Water: PCO2W Series A,PCO2W SERIES A (SAMI-CO2),Sunburst Sensors,SAMI-pCO2,C0079,,20140127.0,17942.3,,,False,False
341,ATOSU-58336-00007,ATOSU-58336-00007,Sensor,0,pCO2 Water: PCO2W Series A,pCO2 sensor PCO2W-A,Sunburst Sensors,SAMI-pCO2,C0116,,,18054.0,,,False,False
342,ATOSU-58336-00008,ATOSU-58336-00008,Sensor,0,pCO2 Water: PCO2W Series A,pCO2 sensor PCO2W-A,Sunburst Sensors,SAMI-pCO2,C0117,,,18544.5,,,False,False
343,ATOSU-58336-00011,ATOSU-58336-00011,Sensor,0,pCO2 Water: PCO2W Series A,pCO2 sensor PCO2W-A,Sunburst Sensors,SAMI-pCO2,C0064,,,18544.5,Using price from above co2 sensor,,False,False
344,ATOSU-58336-00012,ATOSU-58336-00012,Sensor,0,pCO2 Water: PCO2W Series A,pCO2 sensor PCO2W-A,Sunburst Sensors,SAMI-pCO2,C0080,,,18544.5,,,False,False
345,ATOSU-58336-00013,ATOSU-58336-00013,Sensor,0,pCO2 Water: PCO2W Series A,pCO2 sensor PCO2W-A,Sunburst Sensors,SAMI-pCO2,C0090,,,18544.5,,,False,False
346,ATOSU-58336-00014,ATOSU-58336-00014,Sensor,0,pCO2 Water: PCO2W Series A,pCO2 sensor PCO2W-A,Sunburst Sensors,SAMI-pCO2,C0118,,,18544.5,,,False,False
347,ATOSU-58337-00007,ATOSU-58337-00007,Sensor,0,Seawater pH: PHSEN Series A,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-pH,P0115,,20140109.0,17479.95,,,False,False
348,ATOSU-58337-00008,ATOSU-58337-00008,Sensor,0,Seawater pH: PHSEN Series A,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-pH,P0131,,20140425.0,18003.4,,,False,False
349,ATOSU-58337-00011,ATOSU-58337-00011,Sensor,0,Seawater pH: PHSEN Series A,"ph sensor, PHSEN-A",Sunburst Sensors,SAMI-pH,P0153,,,18054.0,,,False,False
350,ATOSU-58337-00012,ATOSU-58337-00012,Sensor,0,Seawater pH: PHSEN Series A,"ph sensor, PHSEN-A",Sunburst Sensors,SAMI-pH,P0154,,,18544.5,,,False,False
351,ATOSU-58337-00015,ATOSU-58337-00015,Sensor,0,Seawater pH: PHSEN Series A,"ph sensor, PHSEN-A",Sunburst Sensors,SAMI-pH,P0116,,,18544.5,Assumed price from above sami,,False,False
352,ATOSU-58337-00016,ATOSU-58337-00016,Sensor,0,Seawater pH: PHSEN Series A,"ph sensor, PHSEN-A",Sunburst Sensors,SAMI-pH,P0117,,,18544.5,Assumed price from above sami,,False,False
353,ATOSU-58337-00017,ATOSU-58337-00017,Sensor,0,Seawater pH: PHSEN Series A,"ph sensor, PHSEN-A",Sunburst Sensors,SAMI-pH,P0159,,,18544.5,Assumed price from above sami,,False,False
354,ATOSU-58337-00018,ATOSU-58337-00018,Sensor,0,Seawater pH: PHSEN Series A,"ph sensor, PHSEN-A",Sunburst Sensors,SAMI-pH,P0132,,,18544.5,Assumed price from above sami,,False,False
355,ATOSU-58341-00005,CGINS-SPKIRB-00241,Sensor,0,Spectral Irradiance: SPKIR Series A,SPKIR-A,Satlantic,OCR507 ICSW,241,,,,,,False,False
356,ATOSU-58341-00008,ATOSU-58341-00008,Sensor,0,Spectral Irradiance: SPKIR Series A,OCR507-ICSW (series A) w/ Midrange (500m) Bioshutter II (SPKIR-A),Satlantic,OCR507 ICSW,251,,,14000.0,,,False,False
357,ATOSU-58346-00007,ATOSU-58346-00007,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series A,"Falmouth Scientific 3D-ACM, with Impulse MCBH(WB)-5-FS-Ti connector (if available)",Falmouth Scientific,ACM-Plus-MP,1216,,20140128.0,10850.0,,,False,False
358,ATOSU-58346-00008,ATOSU-58346-00008,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series A,"Falmouth Scientific 3D-ACM, with Impulse MCBH(WB)-5-FS-Ti connector (if available)",Falmouth Scientific,ACM-Plus-MP,1131/TAG#: 116118,,20140128.0,10850.0,,,False,False
359,ATOSU-58694-00004,ATOSU-58694-00004,Sensor,0,Dissolved Oxygen Fast Response: DOFST Series A,DOFSTA for RSN,Sea-Bird Electronics,SBE 43,43-2853,,,,,,False,False
360,ATOSU-58694-00007,ATOSU-58694-00007,Sensor,0,Dissolved Oxygen Fast Response: DOFST Series A,DOFSTA for RSN,Sea-Bird Electronics,SBE 43,43-3136,,,,,,False,False
361,ATOSU-63259-00001,ATOSU-63259-00001,Sensor,0,Bio-acoustic Sonar: ZPLSC Series B,Zoo Plankton (ZPLSC-B) S/N: 3 OSU: PENDING,Kongsberg Underwater Technology Inc,EK-60,3,,20140523.0,174000.0,,,False,False
362,ATOSU-63259-00002,ATOSU-63259-00002,Sensor,0,Bio-acoustic Sonar: ZPLSC Series B,Zoo Plankton (ZPLSC-B) S/N: 4 OSU: PENDING,Kongsberg Underwater Technology Inc,EK-60,4,,,174000.0,,,False,False
363,ATOSU-63259-00003,ATOSU-63259-00003,Sensor,0,Bio-acoustic Sonar: ZPLSC Series B,Zoo Plankton (ZPLSC-B) S/N: 5 OSU: PENDING,Kongsberg Underwater Technology Inc,EK-60,5,,,174000.0,,,False,False
364,ATOSU-63259-00004,ATOSU-63259-00004,Sensor,0,Bio-acoustic Sonar: ZPLSC Series B,Zoo Plankton (ZPLSC-B) S/N: 1 OSU: PENDING,Kongsberg Underwater Technology Inc,EK-60,1,,,174000.0,,,False,False
365,ATOSU-63259-00005,ATOSU-63259-00005,Sensor,0,Bio-acoustic Sonar: ZPLSC Series B,ZPLSC-B,Kongsberg Underwater Technology Inc,EK-60,2,,,,,,False,False
366,ATOSU-63295-00001,ATOSU-63295-00001,Sensor,1,Bio-acoustic Sonar: ZPLSC Series B,Zoo Plankton (ZPLSC-B) S/N: 1 OSU: PENDING,Kongsberg Underwater Technology Inc,EK-60,3,,,174000.0,,,False,False
367,ATOSU-63295-00002,ATOSU-63295-00002,Sensor,1,Bio-acoustic Sonar: ZPLSC Series B,Zoo Plankton (ZPLSC-B) S/N: 1 OSU: PENDING,Kongsberg Underwater Technology Inc,EK-60,4,,,174000.0,,,False,False
368,ATOSU-63295-00003,ATOSU-63295-00003,Sensor,1,Bio-acoustic Sonar: ZPLSC Series B,Zoo Plankton (ZPLSC-B) S/N: 1 OSU: PENDING,Kongsberg Underwater Technology Inc,EK-60,5,,,174000.0,,,False,False
369,ATOSU-63295-00004,N00760,Sensor,1,Bio-acoustic Sonar: ZPLSC Series B,Zoo Plankton (ZPLSC-B) S/N: 1 OSU: PENDING,Kongsberg Underwater Technology Inc,EK-60,1,,20140523.0,,,,False,False
370,ATOSU-63295-00005,ATOSU-63295-00005,Sensor,1,Bio-acoustic Sonar: ZPLSC Series B,Zoo Plankton (ZPLSC-B) S/N: 1 OSU: PENDING,Kongsberg Underwater Technology Inc,EK-60,2,,,174000.0,,,False,False
371,ATOSU-66645-00005,CGINS-PARADJ-00434,Sensor,0,Photosynthetically Available Radiation: PARAD Series A,PARAD,Satlantic,Satlantic digital PAR,434,,,,,,False,False
372,ATOSU-66645-00008,ATOSU-66645-00008,Sensor,0,Photosynthetically Available Radiation: PARAD Series A,PARAD,Satlantic,Satlantic digital PAR,566,,,,,,False,False
373,ATOSU-66662-00006,ATOSU-66662-00006,Sensor,0,CTD Profiler: CTDPF Series A,CTDPF-A,Sea-Bird Electronics,SBE 16plus V2,16-50018,,,,,,False,False
374,ATOSU-66662-00007,ATOSU-66662-00007,Sensor,0,CTD Profiler: CTDPF Series A,Shallow 16 Plus V2 CTD,Sea-Bird Electronics,SBE 16plus V2,16-50019,,20150511.0,13535.0,,,False,False
375,ATOSU-66662-00013,ATOSU-66662-00013,Sensor,0,CTD Profiler: CTDPF Series A,Shallow 16 Plus V2 CTD,Sea-Bird Electronics,SBE 16plus V2,16-50112,,,27000.0,,,False,False
376,ATOSU-66662-00014,ATOSU-66662-00014,Sensor,0,CTD Profiler: CTDPF Series A,Shallow 16 Plus V2 CTD,Sea-Bird Electronics,SBE 16plus V2,16-50113,,,27000.0,,,False,False
377,ATOSU-67977-00006,ATOSU-67977-00006,Sensor,0,CTD Profiler: CTDPF Series L,"SBE52MP-1a-2g-4, RS-232, 3500m strain gauge pressure sensor, MCBH(WB) WHOI",Sea-Bird Electronics,SBE 52-MP,52-0146,,20141222.0,10250.0,,University of Washington,False,False
378,ATOSU-67977-00007,ATOSU-67977-00007,Sensor,0,CTD Profiler: CTDPF Series L,"SBE52MP-1a-2g-4, with RS-232 interface, 3500m strain gauge pressure sensor, MCBH(WB) connector",Sea-Bird Electronics,SBE 52-MP,5277187-0138/TAG#: 116117,,20140128.0,9966.25,,,False,False
379,ATOSU-68020-00005,ATOSU-68020-00005,Sensor,0,Nitrate: NUTNR Series A,SATLANTIC SUNA NITRATE SENSOR,Satlantic,Deep SUNA,344,,,28000.0,,,False,False
380,ATOSU-68020-00008,ATOSU-68020-00008,Sensor,0,Nitrate: NUTNR Series A,SATLANTIC SUNA NITRATE SENSOR,Satlantic,Deep SUNA,625,,,28000.0,,,False,False
381,ATOSU-69825-00001,ATOSU-69825-00001,Sensor,0,ADCP Velocity Profiler (long range): ADCPS Series I,ADCP SERIES I (WHLS75-1500),Teledyne RDI,WHLM75-1500,21498,,20130424.0,48199.5,,,False,False
382,ATOSU-69825-00002,ATOSU-69825-00002,Sensor,0,ADCP Velocity Profiler (long range): ADCPS Series I,ADCP SERIES I (WHLM75-1500),Teledyne RDI,WHLM75-1500,18153,,20120914.0,46795.5,,,False,False
383,ATOSU-69825-00003,CGINS-ADCPSI-18919,Sensor,0,ADCP Velocity Profiler (long range): ADCPS Series I,ADCP SERIES I (WHLM75-1500),Teledyne RDI,WHLM75-1500,18919,,,46795.5,,,False,False
384,ATOSU-69826-00001,ATOSU-69826-00001,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series B,ADCP SERIES B (WHM600-500),Teledyne RDI,WHM300-500,18493,,20120826.0,22482.0,,,False,False
385,ATOSU-69826-00002,ATOSU-69826-00002,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series B,ADCP SERIES B (WHM600-500),Teledyne RDI,WHM300-500,19003,,20121219.0,22482.0,,,False,False
386,ATOSU-69826-00003,ATOSU-69826-00003,Sensor,0,ADCP Velocity Profiler (short range): ADCPT Series B,ADCP SERIES B (WHM600-500),Teledyne RDI,WHM300-500,19003,,20121219.0,22482.0,,,False,False
387,ATOSU-69827-00001,CGINS-CTDBPN-07230,Sensor,0,CTD Pumped: CTDBP Series N,CTDBP SERIES N (N-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-7230,,20121203.0,17500.0,OSU reports S/N 16P7116-7230,,False,False
388,ATOSU-69827-00002,ATOSU-69827-00002,Sensor,0,CTD Pumped: CTDBP Series N,CTDBP SERIES N (N-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50114,,20150514.0,19135.0,,,False,False
389,ATOSU-69827-00003,ATOSU-69827-00003,Sensor,0,CTD Pumped: CTDBP Series N,CTDBP SERIES N (N-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-7248,,20130115.0,17550.0,,,False,False
390,ATOSU-69828-00001,ATOSU-69828-00001,Sensor,0,CTD Pumped: CTDBP Series O,CTDBP SERIES O (O-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-7231,,20121203.0,18250.0,,,False,False
391,ATOSU-69828-00002,CGINS-CTDBPO-07249,Sensor,0,CTD Pumped: CTDBP Series O,CTDBP SERIES O (O-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-7249,,,,,,False,False
392,ATOSU-69828-00003,CGINS-CTDBPO-50117,Sensor,0,CTD Pumped: CTDBP Series O,CTDBP SERIES O (O-16PLUSV2),Sea-Bird Electronics,SBE 16plus V2,16-50117,,20150514.0,19885.0,Former CGINS instrument,,False,False
393,ATOSU-69829-00001,ATOSU-69829-00001,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series C,VEL3D,Nortek,VECTOR,5157,,,,,,False,False
394,ATOSU-69829-00002,ATOSU-69829-00002,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series C,VEL3D,Nortek,VECTOR,5156,,,,,,False,False
395,ATOSU-69829-00003,ATOSU-69829-00003,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series C,VEL3D-C,Nortek,VECTOR,8167,,,,,,False,False
396,ATOSU-69829-00004,ATOSU-69829-00004,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series C,VEL3D SERIES C (VECTOR),Nortek,VECTOR,8159,,20120828.0,15960.0,,,False,False
397,ATOSU-69829-00005,CGINS-VEL3DC-08181,Sensor,0,3-D Single Point Velocity Meter: VEL3D Series C,VEL3D-C,Nortek,VECTOR,8181,,,,,,False,False
398,ATOSU-69943-00010,ATOSU-69943-00010,Sensor,0,Spectrophotometer: OPTAA Series C,OPTAA SERIES D (AC-S),WET Labs,AC-S Deep,ACS-191,,20141126.0,38969.75,,,False,False
399,ATOSU-69943-00011,ATOSU-69943-00011,Sensor,0,Spectrophotometer: OPTAA Series C,OPTAA SERIES C (AC-S DEEP),WET Labs,AC-S Deep,ACS-140,,20130426.0,41710.0,,,False,False
400,ATOSU-70110-00006,ATOSU-70110-00006,Sensor,0,2-Wavelength Fluorometer: FLNTU Series A,Wetlabs FLNTURTD with Impulse MCBH(WB)-6-MP-Ti connector,WET Labs,FLNTURTD,FLNTURTD-3762,,,,,University of Washington,False,False
401,ATOSU-70110-00007,ATOSU-70110-00007,Sensor,0,2-Wavelength Fluorometer: FLNTU Series A,Wetlabs FLNTURTD with Impulse MCBH(WB)-6-MP-Ti connector,WET Labs,FLNTURTD,FLNTURTD-3398,,,,,WHOI,False,False
402,ATOSU-70111-00006,ATOSU-70111-00006,Sensor,0,CDOM Fluorometer: FLCDR Series A,Wetlabs FLCDRTD with Impulse MCBH(WB)-6-MP-Ti connector WHOI,WET Labs,FLCDRTD,FLCDRTD-3717,,20141222.0,13330.0,,University of Washington,False,False
403,ATOSU-70111-00007,ATOSU-70111-00007,Sensor,0,CDOM Fluorometer: FLCDR Series A,Wetlabs FLCDRTD with Impulse MCBH(WB)-6-MP-Ti connector WHOI,WET Labs,FLCDRTD,FLCDRTD-3400,,,,,University of Washington,False,False
404,ATOSU-70114-10005,CGINS-VELPTA-08399,Sensor,0,Single Point Velocity Meter: VELPT Series D,VELPT SERIES A,Nortek,Aquadopp,AQD 8399,,20150430.0,9180.0,,,False,False
405,ATOSU-70114-10008,ATOSU-70114-10008,Sensor,0,Single Point Velocity Meter: VELPT Series D,VELPT SERIES A,Nortek,Aquadopp,AQD 12692,,20150430.0,9180.0,,,False,False
