OOIBARCODE,Manufacturer,Manufacturer's Serial No./Other Identifier,Tag Date,Organization,Tag
A00071,TELEDYNE RDI,18593,20150604,WHOI,115094
A00072,TELEDYNE RDI,18594,20150604,WHOI,115095
A00073,Sunburst Sensors,C0052,20120924,WHOI,115097
A00074,Sunburst Sensors,C0053,20120924,WHOI,115098
A00075,TELEDYNE RDI,18260,20120925,WHOI,115099
A00076,TELEDYNE RDI,18261,20120925,WHOI,115100
A00077,TELEDYNE RDI,18353,20120925,WHOI,115101
A00078,TELEDYNE WEBB RESEARCH,311,20121002,WHOI,115106
A00079,TELEDYNE WEBB RESEARCH,312,20121002,WHOI,115107
A00080,AXYS TECHNOLOGIES,TAS04571,20121031,WHOI,115124
A00081,AXYS TECHNOLOGIES,TAS04581,20130726,WHOI,
A00082,SEA-BIRD ELECTRONICS,16P71174-7208,20150604,WHOI,115127
A00083,SEA-BIRD ELECTRONICS,16P71174-7209,20121102,WHOI,115128
A00084,Wet Labs,994,20150604,WHOI,115129
A00085,Wet Labs,993,20150604,WHOI,115130
A00086,SATLANTIC,243,20121109,WHOI,115131
A00087,SATLANTIC,244,20121109,WHOI,115132
A00088,TELEDYNE RDI,19336,20150713,WHOI,115135
A00089,TELEDYNE RDI,18660,20121114,WHOI,115133
A00090,,,,,
A00091,,,,,
A00092,SATLANTIC,229,20121119,WHOI,115140
A00093,SATLANTIC,230,20121119,WHOI,115141
A00094,SATLANTIC,231,20121119,WHOI,115142
A00095,SATLANTIC,232,20121119,WHOI,115143
A00096,Sunburst Sensors,P0068,20150604,WHOI,115147
A00097,Sunburst Sensors,P0069,20121126,WHOI,115148
A00098,Wet Labs,ACS-123,20121203,WHOI,115151
A00099,M&W FIBERGLASS INC,N/A,20120501,WHOI,115159
A00100,ORE OFF SHORE,34842,20110705,WHOI,115160
A00101,TELEDYNE WEBB RESEARCH,319,20121206,WHOI,115163
A00102,TELEDYNE WEBB RESEARCH,320,20121206,WHOI,115164
A00103,SEA-BIRD ELECTRONICS,37-10214,20121212,WHOI,115166
