ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
N00206,Platform,0,MOORING PIONEER CENTRAL SURFAC,WHOI,CP01CNSM,CP01CNSM-00003,,,,
N00207,Platform,0,MOORING PIONEER CENTRAL SURFAC,WHOI,CP01CNSM,CP01CNSM-00004,,,,
N00208,Platform,0,MOORING PIONEER CENTRAL SURFAC,WHOI,CP01CNSP,CP01CNSP-00001,,,,
N00209,Platform,0,MOORING PIONEER CENTRAL SURFAC,WHOI,CP01CNSP,CP01CNSP-00002,,,,
N00210,Platform,0,MOORING PIONEER CENTRAL SURFAC,WHOI,CP01CNSP,CP01CNSP-00003,,,,
N00211,Platform,0,MOORING ENDURANCE OS PROFILER,WHOI,CE02SHSM,CE02SHSM-00001,,,,
N00212,Platform,0,MOORING ENDURANCE OS SURFACE,WHOI,CE04OSSM,CE04OSSM-00001,,,,
N00213,Platform,0,MOORING ENDURANCE OS PROFILER,WHOI,CE07SHSM,CE07SHSM-00001,,,,
N00214,Platform,0,MOORING ENDURANCE PROFILER,WHOI,CE09OPSM,CE09OSPM-00003,,,,
N00215,Platform,0,MOORING ENDURANCE OS PROFILER,WHOI,CE09OSSM,CE09OSSM-00001,,,,
N00216,Platform,0,MOORING Argentine OS,WHOI,GA01SUMO,GA01SUMO-00001,,,,
N00217,Platform,0,MOORING Argentine OS,WHOI,GA02HYPM,GA02HYPM-00001,,,,
N00218,Platform,0,MOORING MESCALE FLANKING A SP,WHOI,GA03FLMA,GA03FLMA-00001,,,,
N00219,Platform,0,MOORING MESCALE FLANKING B SP,WHOI,GA03FLMB,GA03FLMB-00001,,,,
N00220,Platform,0,MOORING Iminger OS,WHOI,GI01SUMO,GI01SUMO-00001,,,,
N00221,Platform,0,MOORING Iminger OS,WHOI,GI01SUMO,GI01SUMO-00002,,,,
N00222,Platform,0,MOORING Iminger OS,WHOI,GI02HYPM,GI02HYPM-00001,,,,
N00223,Platform,0,MOORING Iminger OS,WHOI,GI02HYPM,GI02HYPM-00002,,,,
N00224,Platform,0,MOORING MESCALE FLANKING A SP,WHOI,GI03FLMA,GI03FLMA-00001,,,,
N00225,Platform,0,MOORING MESCALE FLANKING A SP,WHOI,GI03FLMA,GI03FLMA-00002,,,,
N00226,Platform,0,MOORING MESCALE FLANKING B SP,WHOI,GI03FLMB,GI03FLMB-00001,,,,
N00227,Platform,0,MOORING MESCALE FLANKING B SP,WHOI,GI03FLMB,GI03FLMB-00002,,,,
N00229,Platform,0,MOORING PIONEER CENTRAL SURFAC,WHOI,CP01CNSP,CP01CNSP-00004,,,,
N00230,Platform,0,MOORING PIONEER CI PROFILER,WHOI,CP02PMCI,CP02PMCI-00003,,,110911.35,
N00231,Platform,0,MOORING PIONEER CI PROFILER,WHOI,CP02PMCI,CP02PMCI-00004,,,110911.35,
N00232,Platform,0,MOORING PIONEER CO PROFILER,WHOI,CP02PMCO,CP02PMCO-00003,,,110911.35,
N00233,Platform,0,MOORING PIONEER CO PROFILER,WHOI,CP02PMCO,CP02PMCO-00004,,,110911.35,
N00234,Platform,0,MOORING PIONEER CO PROFILER,WHOI,CP02PMCO,CP02PMCO-00005,,,110911.35,
N00235,Platform,0,MOORING PIONEER UI PROFILER,WHOI,CP02PMUI,CP02PMUI-00004,,,,
N00236,Platform,0,MOORING PIONEER UI PROFILER,WHOI,CP02PMUI,CP02PMUI-00005,,,,
N00237,Platform,0,MOORING PIONEER UI PROFILER,WHOI,CP02PMUI,CP02PMUI-00006,,,,
N00238,Platform,0,MOORING PIONEER UPSTREAM OFFSH,WHOI,CP02PMUO,CP02PMUO-00001,,,110911.35,
N00239,Platform,0,MOORING PIONEER UPSTREAM OFFSH,WHOI,CP02PMUO,CP02PMUO-00005,,,110911.35,
N00240,Platform,0,MOORING PIONEER UPSTREAM OFFSH,WHOI,CP02PMUO,CP02PMUO-00006,,,110911.35,
N00241,Platform,0,MOORING PIONEER IS SURFACE,WHOI,CP03ISSM,CP03ISSM-00001,,,,
N00242,Platform,0,MOORING PIONEER IS SURFACE,WHOI,CP03ISSM,CP03ISSM-00002,,,,
N00243,Platform,0,MOORING PIONEER IS SURFACE,WHOI,CP03ISSM,CP03ISSM-00003,,,,
N00244,Platform,0,MOORING PIONEER IS PROFILER,WHOI,CP03ISSP,CP03ISSP-00001,,,,
N00245,Platform,0,MOORING PIONEER IS PROFILER,WHOI,CP03ISSP,CP03ISSP-00002,,,,
N00246,Platform,0,MOORING PIONEER IS PROFILER,WHOI,CP03ISSP,CP03ISSP-00003,,,,
N00247,Platform,0,MOORING PIONEER OS PROFILER,WHOI,CP04OSPM,CP04OSPM-00003,,,110911.35,
N00248,Platform,0,MOORING PIONEER OS PROFILER,WHOI,CP04OSPM,CP04OSPM-00004,,,110911.35,
N00249,Platform,0,MOORING PIONEER OS PROFILER,WHOI,CP04OSSM,CP04OSSM-00003,,,,
N00250,Platform,0,HYBRID PROFILER STATION PAPA,WHOI,HYBRID,GP02HYPM-00002,,,698400,
N00251,Platform,0,HYBRID PROFILER STATION PAPA,WHOI,HYBRID,GP02HYPM-00003,,,698400,
N00252,Platform,0,MOORING MESCALE FLANKING A SP,WHOI,GP03FLMA,GP03FLMA-00002,,,35611.94,
N00253,Platform,0,MOORING MESCALE FLANKING A SP,WHOI,GP03FLMA,GP03FLMA-00003,,,35611.94,
N00254,Platform,0,MOORING MESCALE FLANKING B SP,WHOI,GP03FLMB,GP03FLMB-00002,,,2150308.47,
N00255,Platform,0,MOORING MESCALE FLANKING B SP,WHOI,GP03FLMB,GP03FLMB-00003,,,2150308.47,
N00256,Platform,0,MOORING SOUTHERN OS,WHOI,GS01SUMO,GS01SUMO-00001,,,,
N00257,Platform,0,HYBRID PROFILER SOUTHERN,WHOI,HYBRID,GS02HYPM-00001,,,698400,
N00258,Platform,0,MOORING MESCALE FLANKING A SOUTHERN,WHOI,GS03FLMA,GS03FLMA-00001,,,35611.94,
N00259,Platform,0,MOORING MESCALE FLANKING B SOUTHERN,WHOI,GS03FLMB,GS03FLMB-00001,,,2150308.47,
N00260,Platform,0,MOORING ENDURANCE OR LP,WHOI,CE01ISSM,CE01ISSM-00003,,,318785.53,
N00261,Platform,0,MOORING ENDURANCE OR LP,WHOI,CE01ISSM,CE01ISSM-00004,,,318785.53,
N00262,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE01ISSP,CE01ISSP-00001,,,,
N00263,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE01ISSP,CE01ISSP-00002,,,,
N00264,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE01ISSP,CE01ISSP-00003,,,,
N00265,Platform,0,MOORING ENDURANCE IS PROFILER,WHOI,CE01ISSP,CE01ISSP-00004,,,,
