ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments,MIO
CGINS-SPKIRB-00254,A00693,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),254,,20140218,13316.72,,
CGINS-SPKIRB-00255,A00694,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),255,,20140218,13316.36,,
CGINS-SPKIRB-00269,A00857,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),269,3.2A,20140611,13316.36,,
CGINS-SPKIRB-00270,A00858,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),270,3.2A,20140611,13316.36,,
CGINS-SPKIRB-00271,A00859,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),271,3.2A,20150615,13316.36,,
CGINS-SPKIRB-00272,A00860,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),272,3.2A,20150604,13316.36,,
CGINS-SPKIRB-00273,A00976,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),273,3.2A,20150604,13316.36,,
CGINS-SPKIRB-00274,A00977,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),274,3.2A,20150604,13316.36,,
CGINS-SPKIRB-00275,A00978,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),275,3.2A,20140815,13316.36,,
CGINS-SPKIRB-00276,A00979,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),276,3.2A,20140815,13316.36,,
CGINS-SPKIRB-00288,A01530,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B,Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),288,,20150626,13982.12,,
CGINS-SPKIRB-00289,A01531,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B,Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),289,,20150626,13982.12,,
CGINS-SPKIRB-00290,A01532,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B,Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),290,,20150626,13982.12,,
CGINS-SPKIRB-00291,A01533,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B,Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),291,,20150626,13982.12,,
CGINS-SPKIRB-00294,A01675,Sensor,0,Spectral Irradiance: SPKIR Series B,SPKIR SERIES B (OCR507-ICSW),Satlantic,OCR507 ICSW w/ Bioshutter II (Midrange),294,,20150716,13982.12,,
