ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
A00069,Sensor,0,ADCP SERIES L (WHLS75-1500-I),TELEDYNE RDI,WHLS75-1500-I,18445,,20121001,51646.5,
A00070,Sensor,0,ADCP SERIES L (WHLS75-1500-I),TELEDYNE RDI,WHLS75-1500-I,18446,50.4,20120928,51646.5,
A00071,Sensor,0,ADCP SERIES F (WHS150-1500),TELEDYNE RDI,WHS150-1500,18593,50.4,20150604,35302.5,
A00072,Sensor,0,ADCP SERIES F (WHS150-1500),TELEDYNE RDI,WHS150-1500,18594,50.4,20150604,35302.5,
A00073,Sensor,0,PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0052,,20120924,20600,
A00074,Sensor,0,PCO2W SERIES B (SAMI-CO2),Sunburst Sensors,SAMI-CO2,C0053,,20120924,20600,
A00075,Sensor,0,ADCP SERIES L (WHLS75-1500-I),TELEDYNE RDI,WHLS75-1500-I,18260,,20120925,51646.5,
A00076,Sensor,0,ADCP SERIES L (WHLS75-1500-I),TELEDYNE RDI,WHLS75-1500-I,18261,,20120925,51646,Missing from SIO inventory
A00077,Sensor,0,ADCP SERIES L (WHLS75-1500-I),TELEDYNE RDI,WHLS75-1500-I,18353,,20120925,51646.5,
A00078,Node,1,COASTAL GLIDER 200M,TELEDYNE WEBB RESEARCH,CSG-0200,311,,20121002,186935,
A00079,Node,1,COASTAL GLIDER 1000M,TELEDYNE WEBB RESEARCH,CSG-1000,312,,20121002,186935,
A00080,Sensor,0,WAVSS SERIES A (TRIAXYS NW),AXYS TECHNOLOGIES,TRIAXYX NW,4571,1.01.0682,20121031,22000,
A00081,Sensor,0,WAVSS SERIES A (TRIAXYS NW),AXYS TECHNOLOGIES,TRIAXYX NW,4581,1.01.0682,20130726,22000,Missing from inventory
A00082,Sensor,0,CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16P71174-7208,2.5,20150604,11150,
A00083,Sensor,0,CTDBP SERIES D (D-16PLUSV2),SEA-BIRD ELECTRONICS,D-16PLUSV2,16P71174-7209,2.5,20121102,11150,
A00084,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,994,5.2,20150604,12634.25,
A00085,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,993,5.2,20150604,12634.25,
A00086,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,243,,20121109,35182.98,
A00087,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,244,,20121109,35182.98,
A00088,Sensor,0,ADCP SERIES G (WHS150-1500),TELEDYNE RDI,WHS150-1500-I,19336,50.4,20150713,40522.8,
A00089,Sensor,0,ADCP SERIES G (WHS150-1500),TELEDYNE RDI,WHS150-1500-I,18660,50.4,20121114,40522.8,
A00090,,,,,,,,,,Missing from inventory
A00091,,,,,,,,,,Missing from inventory
A00092,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR507-ICSW,229,3.0A,20121119,12682,
A00093,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR507-ICSW,230,3.0A,20121119,12682,
A00094,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR507-ICSW,231,,20121119,12682,
A00095,Sensor,0,SPKIR SERIES B (OCR507-ICSW),SATLANTIC,OCR507-ICSW,232,,20121119,12682,
A00096,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0068,54,20150604,18375,
A00097,Sensor,0,PHSEN SERIES D (SAMI-PH),Sunburst Sensors,SAMI-PH,P0069,54,20121126,18375,
A00098,Sensor,0,OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-123,1.1,20121203,37830,
A00099,,,BUOYANCY BASIN,M&W FIBERGLASS INC,OSU CONSTRUCTED,N/A,,20120501,7184.03,
A00100,,,BOUY SYSTEM CART POP UP,ORE OFF SHORE,POPUP,34842,,20110705,6983.74,
A00101,Node,1,COASTAL GLIDER 200M,TELEDYNE WEBB RESEARCH,CSG-0200,319,,20121206,186935,
A00102,Node,1,COASTAL GLIDER 1000M,TELEDYNE WEBB RESEARCH,CSG-1000,320,,20121206,186935,
A00103,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10214,,20121212,6400,
A00104,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10215,,20121212,6400,
A00105,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10216,,20121212,6400,
A00106,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10217,,20121212,6400,
A00107,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10218,,20121212,6400,
A00108,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10219,,20121212,6400,
A00109,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10220,,20121212,6400,
A00110,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10221,,20121212,6400,
A00111,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10222,,20121212,6400,
A00112,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10223,,20121212,6400,
A00113,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10224,,20121212,6400,
A00114,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10225,,20121212,6400,
A00115,Sensor,0,VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 8532,3.35,20121214,8500,
A00116,Sensor,0,VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 8544,3.35,20121214,8500,
A00117,Sensor,0,VELPT SERIES A (AQUADOPP 300M),NORTEK,AQUADOPP 300M,AQD 8550,3.35,20121204,8500,
A00118,Sensor,0,PHSEN SERIES E (SAMI-PH),Sunburst Sensors,SAMI-PH,P0071,54,20121226,19655,
A00119,Sensor,0,PHSEN SERIES E (SAMI-PH),Sunburst Sensors,SAMI-PH,P0070,54,20121226,19655,
A00120,Sensor,0,METBK CTD MODULE,SEA-BIRD ELECTRONICS,SBE-37SM,37-11000,,20121226,5816,
A00121,Sensor,0,METBK CTD MODULE,SEA-BIRD ELECTRONICS,SBE-37SM,37-11001,,20150604,5816,
A00122,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,253,,20121227,34464.96,
A00123,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,254,,20121227,34464.96,
A00124,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,255,,20121227,34464.96,
A00125,Sensor,0,NUTNR SERIES B (ISUS),SATLANTIC,ISUS,256,,20121227,34464.96,
