ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
ATAPL-67709-00013,ATAPL-67709-00013,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-33,N/A,20121220,32078,
ATAPL-67709-00014,ATAPL-67709-00014,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-31,N/A,20121220,32078,
ATAPL-67709-00015,ATAPL-67709-00015,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-29,N/A,20121220,32078,
ATAPL-67709-00016,ATAPL-67709-00016,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-28,N/A,20121220,32078,
ATAPL-67709-00017,ATAPL-67709-00017,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-32,N/A,20121220,32078,
ATAPL-67709-00018,ATAPL-67709-00018,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-36,N/A,20121221,32078,
ATAPL-67709-00019,ATAPL-67709-00019,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-40,N/A,20121221,32078,
ATAPL-67709-00020,ATAPL-67709-00020,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-37,N/A,20121221,32078,
ATAPL-67709-00021,ATAPL-67709-00021,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-35,N/A,20121221,32078,
ATAPL-67709-00022,ATAPL-67709-00022,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-39,N/A,20121221,32078,
ATAPL-67709-00023,ATAPL-67709-00023,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-43,N/A,20121224,32078,
ATAPL-67709-00024,ATAPL-67709-00024,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-45,N/A,20121224,32078,
ATAPL-67709-00025,ATAPL-67709-00025,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-44,N/A,20121224,32078,
ATAPL-67709-00026,ATAPL-67709-00026,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-47,N/A,20140709,32078,
ATAPL-67709-00027,ATAPL-67709-00027,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-48,N/A,20140709,32078,
ATAPL-67709-00028,ATAPL-67709-00028,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-49,N/A,20140709,32078,
ATAPL-67709-00029,ATAPL-67709-00029,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1063054,1063054-50,N/A,20140709,32078,
ATAPL-67709-10001,ATAPL-67709-10001,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1077722,1077722-1,N/A,20140407,32078,
ATAPL-67709-10002,ATAPL-67709-10002,,,4O/2E Hybrid FACT Jumper Assembly,4O/2E Hybrid FACT Jumper Assembly,Teledyne ODI,1077722,1077722-2,N/A,20140407,32078,
ATAPL-67710-00001,ATAPL-67710-00001,,,10M NRH ROV CE Jumper Assembly; Cable End Receptacle on both ends; splice canister,10M NRH ROV CE Jumper Assembly; Cable End Receptacle on both ends; splice canister,Teledyne ODI,1068057,1068057-1,N/A,,44257,
ATAPL-67710-00002,ATAPL-67710-00002,,,10M NRH ROV CE Jumper Assembly; Cable End Receptacle on both ends; splice canister,10M NRH ROV CE Jumper Assembly; Cable End Receptacle on both ends; splice canister,Teledyne ODI,1068057,1068057-2,N/A,,44257,
ATAPL-67711-00001,ATAPL-67711-00001,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-1,N/A,20120315,28528,
ATAPL-67711-00002,ATAPL-67711-00002,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-2,N/A,20120315,28528,
ATAPL-67711-00003,ATAPL-67711-00003,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-3,N/A,20120316,28528,
ATAPL-67711-00004,ATAPL-67711-00004,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-4,N/A,20120327,28528,
ATAPL-67711-00005,ATAPL-67711-00005,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-5,N/A,20120315,28528,
ATAPL-67711-00006,ATAPL-67711-00006,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-6,N/A,20120315,28528,
ATAPL-67711-00007,ATAPL-67711-00007,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-7,N/A,20120316,28528,
ATAPL-67711-00008,ATAPL-67711-00008,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-8,N/A,20120316,28528,
ATAPL-67711-00009,ATAPL-67711-00009,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-9,N/A,20120319,28528,
ATAPL-67711-00010,ATAPL-67711-00010,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-10,N/A,20120319,28528,
ATAPL-67711-00011,ATAPL-67711-00011,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-11,N/A,20120327,28528,
ATAPL-67711-00012,ATAPL-67711-00012,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-12,N/A,20120327,28528,
ATAPL-67711-00013,ATAPL-67711-00013,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-13,N/A,20120327,28528,
ATAPL-67711-00014,ATAPL-67711-00014,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-14,N/A,20120327,28528,
ATAPL-67711-00015,ATAPL-67711-00015,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-15,N/A,20120328,28528,
ATAPL-67711-00016,ATAPL-67711-00016,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-16,N/A,20120328,28528,
ATAPL-67711-00017,ATAPL-67711-00017,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-17,N/A,20120328,28528,
ATAPL-67711-00018,ATAPL-67711-00018,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-18,N/A,20120330,28528,
ATAPL-67711-00019,ATAPL-67711-00019,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-19,N/A,20120330,28528,
ATAPL-67711-00020,ATAPL-67711-00020,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-20,N/A,20120330,28528,
ATAPL-67711-00021,ATAPL-67711-00021,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-21,N/A,20120330,28528,
ATAPL-67711-00022,ATAPL-67711-00022,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-22,N/A,20120402,28528,
ATAPL-67711-00023,ATAPL-67711-00023,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-23,N/A,20120402,28528,
ATAPL-67711-00024,ATAPL-67711-00024,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-24,N/A,20120402,28528,
ATAPL-67711-00025,ATAPL-67711-00025,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-25,N/A,20120402,28528,
ATAPL-67711-00026,ATAPL-67711-00026,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-26,N/A,20130401,28528,
ATAPL-67711-00027,ATAPL-67711-00027,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-27,N/A,20130401,28528,
ATAPL-67711-00028,ATAPL-67711-00028,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-28,N/A,20130401,28528,
ATAPL-67711-00029,ATAPL-67711-00029,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-29,N/A,20130401,28528,
ATAPL-67711-00030,ATAPL-67711-00030,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-30,N/A,20130607,28528,
ATAPL-67711-00031,ATAPL-67711-00031,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-31,N/A,20130607,28528,
ATAPL-67711-00032,ATAPL-67711-00032,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-32,N/A,20130607,28528,
ATAPL-67711-00033,ATAPL-67711-00033,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-33,N/A,20130607,28528,
ATAPL-67711-00034,ATAPL-67711-00034,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-34,N/A,20130607,28528,
ATAPL-67711-00035,ATAPL-67711-00035,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-35,N/A,20130607,28528,
ATAPL-67711-00036,ATAPL-67711-00036,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-36,N/A,20130607,28528,
ATAPL-67711-00037,ATAPL-67711-00037,,,,,,,,,,,Missing from inventory
ATAPL-67711-00038,ATAPL-67711-00038,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-38,N/A,20140509,28528,
ATAPL-67711-00039,ATAPL-67711-00039,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-39,N/A,20140512,28528,
ATAPL-67711-00040,ATAPL-67711-00040,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-40,N/A,20141112,28528,
ATAPL-67711-00041,ATAPL-67711-00041,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-41,N/A,20140820,28528,
ATAPL-67711-00042,ATAPL-67711-00042,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-42,N/A,20140820,28528,
ATAPL-67711-00043,ATAPL-67711-00043,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-43,N/A,20140820,28528,
ATAPL-67711-00044,ATAPL-67711-00044,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-44,N/A,20140820,28528,
ATAPL-67711-00045,ATAPL-67711-00045,,,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,4.38m Optical Bulkhead Jumper Assembly P/N 1068058/RSN-004-01 ROV-DMS,Teledyne ODI,1068058,1068058-45,N/A,20140820,28528,
ATAPL-67712-00001,ATAPL-67712-00001,,,,,,,,,,,Missing from inventory
ATAPL-67712-00002,ATAPL-67712-00002,,,,,,,,,,,Missing from inventory
ATAPL-67712-00003,ATAPL-67712-00003,,,,,,,,,,,Missing from inventory
ATAPL-67712-00004,ATAPL-67712-00004,,,,,,,,,,,Missing from inventory
ATAPL-67712-00005,ATAPL-67712-00005,,,,,,,,,,,Missing from inventory
ATAPL-67712-00006,ATAPL-67712-00006,,,,,,,,,,,Missing from inventory
ATAPL-67712-00007,ATAPL-67712-00007,,,,,,,,,,,Missing from inventory
ATAPL-67712-00008,ATAPL-67712-00008,,,,,,,,,,,Missing from inventory
ATAPL-67712-00009,ATAPL-67712-00009,,,,,,,,,,,Missing from inventory
ATAPL-67712-00010,ATAPL-67712-00010,,,,,,,,,,,Missing from inventory
ATAPL-67712-00011,ATAPL-67712-00011,,,,,,,,,,,Missing from inventory
ATAPL-67712-00012,ATAPL-67712-00012,,,,,,,,,,,Missing from inventory
ATAPL-67712-00013,ATAPL-67712-00013,,,,,,,,,,,Missing from inventory
ATAPL-67712-00014,ATAPL-67712-00014,,,,,,,,,,,Missing from inventory
ATAPL-67712-00015,ATAPL-67712-00015,,,,,,,,,,,Missing from inventory
ATAPL-67712-00016,ATAPL-67712-00016,,,,,,,,,,,Missing from inventory
ATAPL-67712-00017,ATAPL-67712-00017,,,,,,,,,,,Missing from inventory
ATAPL-67712-00018,ATAPL-67712-00018,,,,,,,,,,,Missing from inventory
ATAPL-67712-00019,ATAPL-67712-00019,,,,,,,,,,,Missing from inventory
ATAPL-67712-00020,ATAPL-67712-00020,,,,,,,,,,,Missing from inventory
ATAPL-67712-00021,ATAPL-67712-00021,,,,,,,,,,,Missing from inventory
ATAPL-67712-00022,ATAPL-67712-00022,,,,,,,,,,,Missing from inventory
ATAPL-67712-00023,ATAPL-67712-00023,,,,,,,,,,,Missing from inventory
ATAPL-67712-00024,ATAPL-67712-00024,,,,,,,,,,,Missing from inventory
ATAPL-67712-00025,ATAPL-67712-00025,,,,,,,,,,,Missing from inventory
ATAPL-67712-00026,ATAPL-67712-00026,,,,,,,,,,,Missing from inventory
ATAPL-67712-00027,ATAPL-67712-00027,,,,,,,,,,,Missing from inventory
ATAPL-67712-00028,ATAPL-67712-00028,,,,,,,,,,,Missing from inventory
ATAPL-67712-00029,ATAPL-67712-00029,,,,,,,,,,,Missing from inventory
ATAPL-67712-00030,ATAPL-67712-00030,,,,,,,,,,,Missing from inventory
ATAPL-67712-00031,ATAPL-67712-00031,,,,,,,,,,,Missing from inventory
ATAPL-67712-00032,ATAPL-67712-00032,,,,,,,,,,,Missing from inventory
ATAPL-67712-00033,ATAPL-67712-00033,,,,,,,,,,,Missing from inventory
ATAPL-67712-00034,ATAPL-67712-00034,,,,,,,,,,,Missing from inventory
ATAPL-67712-00035,ATAPL-67712-00035,,,,,,,,,,,Missing from inventory
ATAPL-67712-00036,ATAPL-67712-00036,,,,,,,,,,,Missing from inventory
ATAPL-67712-00037,ATAPL-67712-00037,,,,,,,,,,,Missing from inventory
ATAPL-67712-00038,ATAPL-67712-00038,,,,,,,,,,,Missing from inventory
ATAPL-67712-00039,ATAPL-67712-00039,,,,,,,,,,,Missing from inventory
ATAPL-67712-00040,ATAPL-67712-00040,,,,,,,,,,,Missing from inventory
ATAPL-67712-00041,ATAPL-67712-00041,,,,,,,,,,,Missing from inventory
ATAPL-67712-00042,ATAPL-67712-00042,,,,,,,,,,,Missing from inventory
ATAPL-67712-00043,ATAPL-67712-00043,,,,,,,,,,,Missing from inventory
ATAPL-67712-00044,ATAPL-67712-00044,,,,,,,,,,,Missing from inventory
ATAPL-67712-00045,ATAPL-67712-00045,,,DMS 4O/2E Submersible Impluse Bulkhead Mounted Receptacle,DMS 4O/2E Submersible Impluse Bulkhead Mounted Receptacle,Teledyne ODI,1068058,1066212-45,N/A,20140822,5152,
ATAPL-67712-00046,ATAPL-67712-00046,,,DMS 4O/2E Submersible Impluse Bulkhead Mounted Receptacle,DMS 4O/2E Submersible Impluse Bulkhead Mounted Receptacle,Teledyne ODI,1068058,1066212-46,N/A,20140822,5152,
ATAPL-67712-00047,ATAPL-67712-00047,,,DMS 4O/2E Submersible Impluse Bulkhead Mounted Receptacle,DMS 4O/2E Submersible Impluse Bulkhead Mounted Receptacle,Teledyne ODI,1068058,1066212-47,N/A,20140825,5152,
ATAPL-67713-00001,ATAPL-67713-00001,,,4O/2E ROV 45 Degree Cable End Receptacle Test Harness,4O/2E ROV 45 Degree Cable End Receptacle Test Harness,Teledyne ODI,1061414,1061414-11,N/A,20120402,18921,
ATAPL-67713-00002,ATAPL-67713-00002,,,4O/2E ROV 45 Degree Cable End Receptacle Test Harness,4O/2E ROV 45 Degree Cable End Receptacle Test Harness,Teledyne ODI,1061414,1061414-12,N/A,20120806,18921,
ATAPL-67713-00003,ATAPL-67713-00003,,,4O/2E ROV 45 Degree Cable End Receptacle Test Harness,4O/2E ROV 45 Degree Cable End Receptacle Test Harness,Teledyne ODI,1061414,1061414-13,N/A,20120806,18921,
ATAPL-67714-00001,ATAPL-67714-00001,,,4O/2E ROV Straight Front Mount Fixed Bulkhead Plug Test Harness,4O/2E ROV Straight Front Mount Fixed Bulkhead Plug Test Harness,Teledyne ODI,1061415,1061415-6,N/A,20120229,15550,
ATAPL-67714-00002,ATAPL-67714-00002,,,4O/2E ROV Straight Front Mount Fixed Bulkhead Plug Test Harness,4O/2E ROV Straight Front Mount Fixed Bulkhead Plug Test Harness,Teledyne ODI,1061415,1061415-7,N/A,20120824,15550,
ATAPL-67715-00001,ATAPL-67715-00001,,,40/2E Submersible Cable End Plug Test Harness,40/2E Submersible Cable End Plug Test Harness,Teledyne ODI,1068059,1068059-1,N/A,20120319,6953,
ATAPL-67715-00002,ATAPL-67715-00002,,,40/2E Submersible Cable End Plug Test Harness,40/2E Submersible Cable End Plug Test Harness,Teledyne ODI,1068059,1068059-2,N/A,20120319,6953,
ATAPL-67732-00001,ATAPL-67732-00001,,,RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338)  (O&M),RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338)  (O&M),NOAA/PMEL,67732,,,,36913,
ATAPL-67732-00002,ATAPL-67732-00002,,,RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338),RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338),NOAA/PMEL,67732,,,,36913,
ATAPL-67732-00003,ATAPL-67732-00003,,,,,,,,,,,Missing from inventory
ATAPL-67732-00004,ATAPL-67732-00004,,,RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338),RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338),PMEL,Custom,,,,36913,
ATAPL-67732-00005,ATAPL-67732-00005,,,RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338),RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338),PMEL,Custom,,,,36913,
ATAPL-67732-00006,ATAPL-67732-00006,,,RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338),RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338),PMEL,Custom,,,20130615,33717,
ATAPL-67941-00001,ATAPL-67941-00001,,,"MAIN FRAME, VERTICAL MOORING","MAIN FRAME, VERTICAL MOORING",APL/UW,67941,1,N/A,20140801,119600,
ATAPL-67941-00002,ATAPL-67941-00002,,,"MAIN FRAME, VERTICAL MOORING","MAIN FRAME, VERTICAL MOORING",APL/UW,67941,2,N/A,20140818,119600,
ATAPL-67941-00003,ATAPL-67941-00003,,,"MAIN FRAME, VERTICAL MOORING","MAIN FRAME, VERTICAL MOORING",APL/UW,67941,3,N/A,20140818,119600,
ATAPL-67961-00001,ATAPL-67961-00001,,,MOOG M180 SLIP RING,MOOG M180 SLIP RING,MOOG,M180,18009612,N/A,20120517,6600,
ATAPL-67973-00001,ATAPL-67973-00001,,,DELL R310 Server,DELL R310 Server,Dell,R310,7JXZMS1,N/A,20120426,5826.1,
ATAPL-67974-00001,ATAPL-67974-00001,,,Ametek SGA400 10KW Power Supply,Ametek SGA400 10KW Power Supply,AMETEK,SGA400,1221A04918,N/A,20120605,6684,
ATAPL-68021-00001,ATAPL-68021-00001,,,"MAIN FLOAT, MOORING PLATFORM","MAIN FLOAT, MOORING PLATFORM",Deep Water Bouyancy,68021,1,N/A,20140819,50996,
ATAPL-68021-00002,ATAPL-68021-00002,,,"MAIN FLOAT, MOORING PLATFORM","MAIN FLOAT, MOORING PLATFORM",Deep Water Bouyancy,68021,2,N/A,20140827,50996,
ATAPL-68021-00003,ATAPL-68021-00003,,,"MAIN FLOAT, MOORING PLATFORM","MAIN FLOAT, MOORING PLATFORM",Deep Water Bouyancy,68021,3,N/A,20140827,50996,
ATAPL-68030-10001,ATAPL-68030-10001,,,"25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL","25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073307,1073307-1,N/A,20131007,11167,
ATAPL-68030-10002,ATAPL-68030-10002,,,"25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL","25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073307,1073307-2,N/A,20131007,11167,
ATAPL-68030-10003,ATAPL-68030-10003,,,"25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL","25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073307,1073307-3,N/A,20131007,11167,
ATAPL-68030-10004,ATAPL-68030-10004,,,"25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL","25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073307,1073307-4,N/A,20131007,11167,
ATAPL-68030-10005,ATAPL-68030-10005,,,"25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL","25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL",Teledyne ODI,1073307,1073307-5,N/A,20131007,11167,
