ASSET_UID,LEGACY_ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,MIO_Inventory_Description,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
A00536,A00536,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46259,,20131104,11070,multiple ooi_barcode and whoi asset tag numbers for same serial number; Missing from SIO inventory
A00537,A00537,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46260,,20150604,11070,
A00538,A00538,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46270,,20131104,11070,
A00539,A00539,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46367,,20131104,11070,
A00540,A00540,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,48482,,20131104,11070,
A00541,A00541,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,48483,,20131104,11070,
A00542,A00542,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,48499,,20131104,11070,
A00543,A00543,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,48485,,20131104,11070,
A00544,A00544,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,48486,,20131104,11070,
A00545,A00545,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,48487,,20131104,11070,
A00546,A00546,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,48488,,20150604,11070,
A00547,A00547,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,48489,,20131104,11070,
A00548,A00548,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,48491,,20131104,11070,
A00549,A00549,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,48492,,20131104,11070,
A00550,A00550,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,48493,,20131104,11070,
A00551,A00551,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242,48494,,20131104,11070,
A00552,A00552,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46287,,20131104,12180,
A00553,A00553,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46290,,20131104,12180,
A00554,A00554,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46263,,20131104,12180,
A00555,A00555,,,ACOUSTIC RELEASE,ACOUSTIC RELEASE,EdgeTech,8242XS,46266,,20131104,12180,
