instrumentType,assetID,mfgSN
PRESTB,ATAPL-69923-00001,5471540-0031
PRESTB,ATAPL-69923-00002,5471540-0047
SPKIRA,ATAPL-58341-00001,233
SPKIRA,ATAPL-58341-00002,244
SPKIRA,ATAPL-58341-00003,245
SPKIRA,ATAPL-58341-00004,267
SPKIRA,ATAPL-58341-00006,292
SPKIRA,ATAPL-58341-00007,293
SPKIRA,ATOSU-58341-00005,241
SPKIRA,ATOSU-58341-00008,251
THSPHA,ATAPL-58342-00001,C_oldA
THSPHA,ATAPL-58342-00002,B_oldC
THSPHA,ATAPL-58342-00003,A_oldB
TMPSFA,ATAPL-58343-00001,21968
TMPSFA,ATAPL-58343-00002,21969
TMPSFA,ATAPL-58343-00003,21964
TRHPHA,ATAPL-67653-00001,1
TRHPHA,ATAPL-67653-00002,2
TRHPHA,ATAPL-67653-00003,3
VADCPA,ATAPL-58345-00001," 24494, 61247"
VADCPA,ATAPL-58345-00002,"19073, 64667"
VADCPA,ATAPL-58345-00003,"19075, 64689"
VADCPA,ATAPL-58345-00004,"21829, 23340"
VADCPA,ATAPL-58345-00005,"23248, 23341"
VADCPA,ATAPL-58345-00006,"23244, 23342"
VEL3DA,ATAPL-58346-00001,1001
VEL3DA,ATAPL-58346-00002,1039
VEL3DA,ATAPL-58346-00003,1130
VEL3DA,ATAPL-58346-00004,1148
VEL3DA,ATAPL-58346-00005,1214
VEL3DA,ATAPL-58346-00006,1215
VEL3DA,ATOSU-58346-00007,1216
VEL3DA,ATOSU-58346-00008,1131
VEL3DB,ATAPL-67979-00001,10306
VEL3DB,ATAPL-67979-00002,10311
VEL3DB,ATAPL-67979-00003,10312
VEL3DB,ATAPL-67979-00004,10313
VEL3DB,ATAPL-67979-00005,10314
VEL3DB,ATAPL-67979-00006,10349
VEL3DB,ATAPL-67979-00007,10350
VEL3DB,ATAPL-67979-00008,10351
VEL3DB,ATAPL-67979-00009,10352
VEL3DB,ATAPL-67979-00010,10364
VEL3DC,ATOSU-69829-00001,"VEC-5157, VEC-13934"
VEL3DC,ATOSU-69829-00002,"VEC-5156, VEC-12587"
VEL3DC,ATOSU-69829-00003,"VEC-5007, VEC-8167"
VEL3DC,ATOSU-69829-00004,"VEC-4940, VEC-8159"
VEL3DC,ATOSU-69829-00005,"VEC-4943, VEC-8181"
VELPTD,ATAPL-70114-00001,"AQS-6031, AQD-8493"
VELPTD,ATAPL-70114-00002,"AQS-6334, AQD-11653"
VELPTD,ATAPL-70114-00003,"AQS-6389, AQD-11641"
VELPTD,ATAPL-70114-00004,"AQS-6802, AQD-11930"
VELPTD,ATAPL-70114-00006,"AQS-7205, AQD-12227"
VELPTD,ATAPL-70114-00007,"AQS-7340, AQD-12469"
VELPTD,ATOSU-70114-10005,"AQS-5761, AQD-8399"
VELPTD,ATOSU-70114-10008,"ALD-7050, AQD-12692"
ZPLSCB,ATOSU-63259-00001,3
ZPLSCB,ATOSU-63259-00002,4
ZPLSCB,ATOSU-63259-00003,5
ZPLSCB,ATOSU-63259-00004,1
ZPLSCB,ATOSU-63259-00005,2
