OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
N00610,,CTD for WFP Coastal 13104-02,Sensor,134,,
N00609,,DOSTA for WFP Coastal 13104-02,Sensor,1480,,
N00608,,FLOR for WFP Coastal 13104-02,Sensor,3283,,
,,PAR for WFP Coastal 13104-02,Sensor,N/A,,
N00611,,VEL3D for WFP Coastal 13104-02,Sensor,A13551,,
,,,,,,
A00632,ML13104-03,WFP GLOBAL,Profiler,ML13104-03,1/15/2014,
N00618,,CTD for WFP Coastal 13104-03,Sensor,132,,
N00617,,DOSTA for WFP Coastal 13104-03,Sensor,1478,,
N00616,,FLOR for WFP Coastal 13104-03,Sensor,3284,,
,,PAR for WFP Coastal 13104-03,Sensor,N/A,,
N00619,,VEL3D for WFP Coastal 13104-03,Sensor,1115,,
,,,,,,
A01081,ML13104-04,WFP GLOBAL,Profiler,ML13104-04,9/25/2014,
N00127,,CTD for WFP Coastal 13104-04,Sensor,135,,
N00128,,DOSTA for WFP Coastal 13104-04,Sensor,1473,,
N00129,,FLOR for WFP Coastal 13104-04,Sensor,3279,,
,,PAR for WFP Coastal 13104-04,Sensor,N/A,,
N00130,,VEL3D for WFP Coastal 13104-04,Sensor,1110-ML13104-04D,,
,,,,,,
A01110,ML13104-05,WFP GLOBAL,Profiler,ML13104-05,4/2/2014,
N00658,,CTD for WFP Coastal 13104-05,Sensor,133,,
N00657,,DOSTA for WFP Coastal 13104-05,Sensor,1477,,
N00656,,FLOR for WFP Coastal 13104-05,Sensor,3281,,
,,PAR for WFP Coastal 13104-05,Sensor,N/A,,
N00659,,VEL3D for WFP Coastal 13104-05,Sensor,1116,,
,,,,,,
A01082,ML13104-06,WFP GLOBAL,Profiler,ML13104-06,9/25/2014,
N00166,,CTD for WFP Coastal 13104-06,Sensor,129,,
N00167,,DOSTA for WFP Coastal 13104-06,Sensor,1475,,
N00168,,FLOR for WFP Coastal 13104-06,Sensor,3278,,
,,PAR for WFP Coastal 13104-06,Sensor,N/A,,
N00169,,VEL3D for WFP Coastal 13104-06,Sensor,1117-ML13104-04D,,
,,,,,,
A01083,ML13104-07,WFP GLOBAL,Profiler,ML13104-07,9/25/2014,
N00662,,CTD for WFP Coastal 13104-07,Sensor,130,,
N00661,,DOSTA for WFP Coastal 13104-07,Sensor,1479,,
N00660,,FLOR for WFP Coastal 13104-07,Sensor,3282,,
,,PAR for WFP Coastal 13104-07,Sensor,N/A,,
N00663,,VEL3D for WFP Coastal 13104-07,Sensor,1118,,
,,,,,,
N00121,WLP-001,"Profiler, Coastal Surface Piercing",Profiler,WLP-001,6/30/2013,
N00594,,CTD for WFP Coastal WLP-001,Sensor,4974683-0308,,
N00588,,DOSTA for WFP Coastal WLP-001,Sensor,209,,
N00593,,FLOR for WFP Coastal WLP-001,Sensor,BBFL2W-1084,,
N00591,,NUTNR for WFP Coastal WLP-001,Sensor,337,,
N00589,,OPTAA for WFP Coastal WLP-001,Sensor,ACS-137,,
N00595,,PAR for WFP Coastal WLP-001,Sensor,365,,
N00592,,SPIKR for WFP Coastal WLP-001,Sensor,237,,
N00590,,VEL3D for WFP Coastal WLP-001,Sensor,AQD 11259,,
,,,,,,
N00122,WLP-002,"Profiler, Coastal Surface Piercing",Profiler,WLP-002,6/30/2014,
N00578,,CTD for WFP Coastal WLP-002,Sensor,49-349,,
N00580,,DOSTA for WFP Coastal WLP-002,Sensor,351,,
N00585,,FLOR for WFP Coastal WLP-002,Sensor,1206,,
N00583,,NUTNR for WFP Coastal WLP-002,Sensor,425,,
N00581,,OPTAA for WFP Coastal WLP-002,Sensor,ACS-139,,
N00587,,PAR for WFP Coastal WLP-002,Sensor,434,,
N00584,,SPKIR for WFP Coastal WLP-002,Sensor,264,,
N00582,,VEL3D for WFP Coastal WLP-002,Sensor,AQD 11912,,
,,,,,,
N00123,WLP-003,"Profiler, Coastal Surface Piercing",Profiler,WLP-003,6/16/2014,
N00578,,CTD for WFP Coastal WLP-003,Sensor,49-0346,,
N00572,,DOSTA for WFP Coastal WLP-003,Sensor,353,,
N00577,,FLOR for WFP Coastal WLP-003,Sensor,1207,,
N00575,,NUTNR for WFP Coastal WLP-003,Sensor,426,,
N00573,,OPTAA for WFP Coastal WLP-003,Sensor,ACS-138,,
N00579,,PAR for WFP Coastal WLP-003,Sensor,411,,
N00576,,SPKIR for WFP Coastal WLP-003,Sensor,266,,
N00574,,VEL for WFP Coastal WLP-003,Sensor,AQD 11900,,
,,,,,,
N00124,WLP-004,"Profiler, Coastal Surface Piercing",Profiler,WLP-004,8/1/2014,
N00570,,CTD for WFP Coastal WLP-004,Sensor,49-0348,,
N00564,,DOSTA for WFP Coastal WLP-004,Sensor,350,,
N00569,,FLOR for WFP Coastal WLP-004,Sensor,1208,,
N00567,,NUTNR for WFP Coastal WLP-004,Sensor,427,,
N00565,,OPTAA for WFP Coastal WLP-004,Sensor,ACS-145,,
N00563,,PAR for WFP Coastal WLP-004,Sensor,407,,
N00568,,SPKIR for WFP Coastal WLP-004,Sensor,263,,
N00566,,VEL for WFP Coastal WLP-004,Sensor,AQD 11916,,
,,,,,,
N00125,WLP-005,"Profiler, Coastal Surface Piercing",Profiler,WLP-005,8/1/2014,
N00562,,CTD for WFP Coastal WLP-005,Sensor,49-0347,,
N00556,,DOSTA for WFP Coastal WLP-005,Sensor,351,,
N00561,,FLOR for WFP Coastal WLP-005,Sensor,1205,,
N00559,,NUTNR for WFP Coastal WLP-005,Sensor,428,,
N00557,,OPTAA for WFP Coastal WLP-005,Sensor,ACS-181,,
N00563,,PAR for WFP Coastal WLP-005,Sensor,437,,
N00560,,SPKIR for WFP Coastal WLP-005,Sensor,265,,
N00558,,VEL for WFP Coastal WLP-005,Sensor,AQD 11915,,
,,,,,,
N00126,WLP-006,Cabled Profiler Sensor Pod w/Instrument,Profiler,WLP-006,9/29/2014,
N00602,,CTD for WFP Coastal WLP-006,Sensor,,,
N00596,,DOSTA for WFP Coastal WLP-006,Sensor,,,
N00601,,FLOR for WFP Coastal WLP-006,Sensor,,,
N00599,,NUTNR for WFP Coastal WLP-006,Sensor,,,
N00597,,OPTAA for WFP Coastal WLP-006,Sensor,,,
N00603,,PAR for WFP Coastal WLP-006,Sensor,,,
N00600,,SPKIR for WFP Coastal WLP-006,Sensor,,,
N00598,,VEL for WFP Coastal WLP-006,Sensor,,,
,,,,,,
OL000046,13452-01,WFP GLOBAL,Profiler,13452-01,12/1/2015,
OL000039,,CTD for WFP Coastal 13104-03,Sensor,150,,
OL000038,,DOSTA for WFP Coastal 13104-03,Sensor,2198,,
OL000037,,FLOR for WFP Coastal 13104-03,Sensor,4013,,
OL000040,,VEL3D for WFP Coastal 13104-03,Sensor,1256,,
,,,,,,
OL000047,13452-02,WFP GLOBAL,Profiler,13452-02,12/1/2015,
OL000043,,CTD for WFP Coastal 13104-04,Sensor,151,,
OL000042,,DOSTA for WFP Coastal 13104-04,Sensor,2195,,
OL000041,,FLOR for WFP Coastal 13104-04,Sensor,4014,,
OL000044,,VEL3D for WFP Coastal 13104-04,Sensor,1253,,
,,,,,,
OL000057,13452-03,WFP GLOBAL,Profiler,13452-03,8/10/2015,
OL000051,,CTD for WFP Coastal 13104-03,Sensor,152,,
OL000050,,DOSTA for WFP Coastal 13104-03,Sensor,2197,,
OL000049,,FLOR for WFP Coastal 13104-03,Sensor,4015,,
OL000053,,VEL3D for WFP Coastal 13104-03,Sensor,1255,,
,,,,,,
OL000058,13452-04,WFP GLOBAL,Profiler,13452-04,8/10/2015,
OL000055,,CTD for WFP Coastal 13104-04,Sensor,153,,
OL000054,,DOSTA for WFP Coastal 13104-04,Sensor,2196,,
OL000052,,FLOR for WFP Coastal 13104-04,Sensor,4016,,
OL000056,,VEL3D for WFP Coastal 13104-04,Sensor,1254,,
