OOI BARCODE,DESCRIPTION OF EQUIPMENT,QUANT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,Source of the Equipment/Award No. or PO No.,Whether Title Vests in Recipient or Federal Gov,LOCATION,ROOM NUMBER/CUSTODY,COND.,ACQUISITION DATE,ORIGINAL COST,PERCENTAGE OF FEDERAL PARTICIPATION,comments,primary_tag_date,primary_tag_organization,primary_institute_asset_tag,secondary_tag_date,second_tag_organization,institute_asset_tag,doi_tag_date,doi_tag_organization,doi_institute_asset_tag
ATAPL-67712-00039,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
ATAPL-67712-00040,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
ATAPL-67712-00041,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
ATAPL-67712-00042,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
ATAPL-67712-00043,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
ATAPL-67712-00044,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
ATAPL-67712-00045,DMS 4O/2E Submersible Impluse Bulkhead Mounted Receptacle,1,Teledyne ODI,1068058,1066212-45,N/A,140328008,O.L.,UW,BH:1F123:VMP,A,20140822,5152,100%,,20140822,UW,N/A,,,,,,
ATAPL-67712-00046,DMS 4O/2E Submersible Impluse Bulkhead Mounted Receptacle,1,Teledyne ODI,1068058,1066212-46,N/A,140328008,O.L.,UW,HH:3F377:MCGINNIS,A,20140822,5152,100%,,20140822,UW,N/A,,,,,,
ATAPL-67712-00047,DMS 4O/2E Submersible Impluse Bulkhead Mounted Receptacle,1,Teledyne ODI,1068058,1066212-47,N/A,140328008,O.L.,UW,BH:1F123:CS3B,A,20140825,5152,100%,,20140825,UW,N/A,,,,,,
ATAPL-67713-00001,4O/2E ROV 45 Degree Cable End Receptacle Test Harness,1,Teledyne ODI,1061414,1061414-11,N/A,111213012,O.L.,UW,HH:3F301:DP,A,20120402,18921,100%,,20120402,UW,N/A,,,,,,
ATAPL-67713-00002,4O/2E ROV 45 Degree Cable End Receptacle Test Harness,1,Teledyne ODI,1061414,1061414-12,N/A,120604004,O.L.,UW,VISIONS2014,A,20120806,18921,100%,,20120806,UW,N/A,,,,,,
ATAPL-67713-00003,4O/2E ROV 45 Degree Cable End Receptacle Test Harness,1,Teledyne ODI,1061414,1061414-13,N/A,120604004,O.L.,UW,BH:1F123:CLEANROOM,A,20120806,18921,100%,,20120806,UW,N/A,,,,,,
ATAPL-67714-00001,4O/2E ROV Straight Front Mount Fixed Bulkhead Plug Test Harness,1,Teledyne ODI,1061415,1061415-6,N/A,111213012,O.L.,UW,BH:1F123:CS6B,A,20120229,15550,100%,,20120229,UW,N/A,,,,,,
ATAPL-67714-00002,4O/2E ROV Straight Front Mount Fixed Bulkhead Plug Test Harness,1,Teledyne ODI,1061415,1061415-7,N/A,120604004,O.L.,UW,VISIONS2014,A,20120824,15550,100%,,20120824,UW,N/A,,,,,,
ATAPL-67715-00001,40/2E Submersible Cable End Plug Test Harness,1,Teledyne ODI,1068059,1068059-1,N/A,111213012,O.L.,UW,VISIONS2014,A,20120319,6953,100%,,20120319,UW,N/A,,,,,,
ATAPL-67715-00002,40/2E Submersible Cable End Plug Test Harness,1,Teledyne ODI,1068059,1068059-2,N/A,111213012,O.L.,UW,BH:1F123:TEST,A,20120319,6953,100%,,20120319,UW,N/A,,,,,,
ATAPL-67732-00001,RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338)  (O&M),1,NOAA/PMEL,67732,,,120822012,O.L.,UW,D. MANALANG,A,,36913,100%,,N/A,UW,N/A,,,,,,
ATAPL-67732-00002,RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338),1,NOAA/PMEL,67732,,,120822012,O.L.,UW,CAV15,A,,36913,100%,,N/A,UW,N/A,,,,,,
ATAPL-67732-00003,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
ATAPL-67732-00004,RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338),1,PMEL,Custom,,,111027027,O.L.,UW,SP:C120:SHOP,A,,36913,100%,,,UW,N/A,,,,,,
ATAPL-67732-00005,RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338),1,PMEL,Custom,,,111027027,O.L.,UW,SP:C120:SHOP,A,,36913,100%,,,UW,N/A,,,,,,
ATAPL-67732-00006,RAS_PPS ASSEMBLY (RAS: 4830-58340 & PPS: 4830-58338),1,PMEL,Custom,,,121119016,O.L.,UW,,A,20130615,33717,100%,,20130615,UW,N/A,,,,,,
ATAPL-67941-00001,"MAIN FRAME, VERTICAL MOORING",1,APL/UW,67941,1,N/A,140310017,O.L.,UW,SP:C120,A,20140801,119600,100%,,20140801,UW,N/A,,,,,,
ATAPL-67941-00002,"MAIN FRAME, VERTICAL MOORING",1,APL/UW,67941,2,N/A,140310017,O.L.,UW,SP:C120,A,20140818,119600,100%,,20140818,UW,N/A,,,,,,
ATAPL-67941-00003,"MAIN FRAME, VERTICAL MOORING",1,APL/UW,67941,3,N/A,140310017,O.L.,UW,SP:C120,A,20140818,119600,100%,,20140818,UW,N/A,,,,,,
ATAPL-67961-00001,MOOG M180 SLIP RING,1,MOOG,M180,18009612,N/A,120221021,O.L.,UW,BH:1F123:CS2C,A,20120517,6600,100%,,20120517,UW,N/A,,,,,,
ATAPL-67973-00001,DELL R310 Server,1,Dell,R310,7JXZMS1,N/A,120417007,O.L.,UW,PCC:SHORESTATION:RSN10154,A,20120426,5826.1,100%,,20120426,UW,N/A,,,,,,
ATAPL-67974-00001,Ametek SGA400 10KW Power Supply,1,AMETEK,SGA400,1221A04918,N/A,120416016,O.L.,UW,BH:1F123:TILLEY,A,20120605,6684,100%,,20120605,UW,N/A,,,,,,
ATAPL-67977-00001,"SBE52MP-1a-2g-4, RS-232, 3500m strain gauge pressure sensor, MCBH(WB)",1,SEA-BIRD ELECTRONICS,SBE52MP,5273520-0120,,121219017,O.L.,UW,HH:3F377:DP,A,20130701,11215,100%,,20130701,UW,N/A,,,,,,
ATAPL-67977-00002,"SBE52MP-1a-2g-4, RS-232, 3500m strain gauge pressure sensor, MCBH(WB)",1,SEA-BIRD ELECTRONICS,SBE52MP,5277187-0137,,131022041,O.L.,UW,VISIONS2014:DP03A,A,20140128,9966.25,100%,,20140128,UW,N/A,,,,,,
ATAPL-67977-00003,"SBE52MP-1a-2g-4, RS-232, 3500m strain gauge pressure sensor, MCBH(WB)",1,SEA-BIRD ELECTRONICS,SBE52MP,5277833-0139,,131213013,O.L.,UW,CAV2015:SPARE,A,20140409,9966.25,100%,,20140409,UW,N/A,,,,,,
ATAPL-67977-00004,"SBE52MP-1a-2g-4, RS-232, 3500m strain gauge pressure sensor, MCBH(WB)",1,SEA-BIRD ELECTRONICS,SBE52MP,52-0144,,140917010,O.L.,UW,CAV2015:DP,A,20141222,10250,100%,,20141222,UW,N/A,,,,,,
ATAPL-67977-00005,"SBE52MP-1a-2g-4, RS-232, 3500m strain gauge pressure sensor, MCBH(WB)",1,SEA-BIRD ELECTRONICS,SBE52MP,52-0145,,140917010,O.L.,UW,CAV2015:DP,A,20141222,10250,100%,,20141222,UW,N/A,,,,,,
ATAPL-67977-00006,"SBE52MP-1a-2g-4, RS-232, 3500m strain gauge pressure sensor, MCBH(WB) WHOI",1,SEA-BIRD ELECTRONICS,SBE52MP,52-0146,,140917010,O.L.,UW,CAV2015:DP,A,20141222,10250,100%,,20141222,UW,N/A,,,,,,
ATAPL-67979-00001,MAVS-4 Acoustic Current Meter (VEL3D),1,NOBSKA,MAVS-4,10306,,120530012,O.L.,UW,VISIONS2014:LJ01B,A,20120710,10969,100%,,20120710,UW,N/A,,,,,,
ATAPL-67979-00002,MAVS-4 Acoustic Current Meter (VEL3D),1,NOBSKA,MAVS-4,10311,,130129010,O.L.,UW,VISIONS2014:MJ03D,A,20130426,10969,100%,,20130426,UW,N/A,,,,,,
ATAPL-67979-00003,MAVS-4 Acoustic Current Meter (VEL3D)  (O&M),1,NOBSKA,MAVS-4,10312,,130129010,O.L.,UW,CAV2015:SPARE,A,20130426,10969,100%,,20130426,UW,N/A,,,,,,
ATAPL-67979-00004,MAVS-4 Acoustic Current Meter (VEL3D),1,NOBSKA,MAVS-4,10313,,130129010,O.L.,UW,VISIONS2014:MJ01A,A,20130426,10969,100%,,20130426,UW,N/A,,,,,,
ATAPL-67979-00005,MAVS-4 Acoustic Current Meter (VEL3D),1,NOBSKA,MAVS-4,10314,,130129010,O.L.,UW,VISIONS2014:MJ03A,A,20130426,10969,100%,,20130426,UW,N/A,,,,,,
ATAPL-68020-00001,SATLANTIC SUNA NITRATE SENSOR,1,SATLANTIC,deep SUNA,234,,120611005,O.L.,UW,BH:1F123:SENSOR,A,20120829,23524.38,100%,,20120829,UW,N/A,,,,,,
ATAPL-68020-00002,SATLANTIC SUNA NITRATE SENSOR,1,SATLANTIC,deep SUNA,379,,130925005,O.L.,UW,VISIONS2014:SF03A,A,20131127,24919.44,100%,,20131127,UW,N/A,,,,,,
ATAPL-68020-00003,SATLANTIC SUNA NITRATE SENSOR,1,SATLANTIC,deep SUNA,380,,130925005,O.L.,UW,VISIONS2014:SF01A,A,20131127,24919.44,100%,,20131127,UW,N/A,,,,,,
ATAPL-68020-00004,SATLANTIC SUNA NITRATE SENSOR,1,SATLANTIC,deep SUNA,429,,140418008,O.L.,UW,CAV2015:SPARE,A,20140514,26438.02,100%,,20140514,UW,N/A,,,,,,
ATAPL-68020-00005,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
ATAPL-68020-00006,SATLANTIC SUNA NITRATE SENSOR,1,SATLANTIC,deep SUNA,617,,150320020,O.L.,UW,CAV2015:SF01A,A,20150515,26956,100%,,20150515,UW,N/A,,,,,,
ATAPL-68020-00007,SATLANTIC SUNA NITRATE SENSOR,1,SATLANTIC,deep SUNA,618,,150320020,O.L.,UW,CAV2015:SF03A,A,20150515,26956,100%,,20150515,UW,N/A,,,,,,
ATAPL-68021-00001,"MAIN FLOAT, MOORING PLATFORM",1,Deep Water Bouyancy,68021,1,N/A,140131024,O.L.,UW,VISIONS2014,A,20140819,50996,100%,,20140819,UW,N/A,,,,,,
ATAPL-68021-00002,"MAIN FLOAT, MOORING PLATFORM",1,Deep Water Bouyancy,68021,2,N/A,140131024,O.L.,UW,VISIONS2014,A,20140827,50996,100%,,20140827,UW,N/A,,,,,,
ATAPL-68021-00003,"MAIN FLOAT, MOORING PLATFORM",1,Deep Water Bouyancy,68021,3,N/A,140131024,O.L.,UW,VISIONS2014,A,20140827,50996,100%,,20140827,UW,N/A,,,,,,
ATAPL-68030-10001,"25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL",1,Teledyne ODI,1073307,1073307-1,N/A,130115032,O.L.,UW,VISIONS2014:MJ01B,A,20131007,11167,100%,,20131007,UW,N/A,,,,,,
ATAPL-68030-10002,"25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL",1,Teledyne ODI,1073307,1073307-2,N/A,130115032,O.L.,UW,VISIONS2014:MJ01B,A,20131007,11167,100%,,20131007,UW,N/A,,,,,,
ATAPL-68030-10003,"25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL",1,Teledyne ODI,1073307,1073307-3,N/A,130115032,O.L.,UW,BH:1F123:CAGE,A,20131007,11167,100%,,20131007,UW,N/A,,,,,,
ATAPL-68030-10004,"25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL",1,Teledyne ODI,1073307,1073307-4,N/A,130115032,O.L.,UW,VISIONS2014:MJ03C,A,20131007,11167,100%,,20131007,UW,N/A,,,,,,
ATAPL-68030-10005,"25M ROV MASSP CAMDS Electrical Jumper, ROV CE Plug to MHDXL",1,Teledyne ODI,1073307,1073307-5,N/A,130115032,O.L.,UW,BH:1F123:CAGE,A,20131007,11167,100%,,20131007,UW,N/A,,,,,,
ATAPL-68030-10006,"25M ROV MASSP, CAMDS Electrical Jumper, ROV CE Plug to MHDXL",1,Teledyne ODI,1073307,1073307-6,N/A,150305025,O.L.,UW,SP:C120,A,20150728,11167,100%,,20150728,UW,N/A,,,,,,
ATAPL-68030-10007,"25M ROV MASSP, CAMDS Electrical Jumper, ROV CE Plug to MHDXL",1,Teledyne ODI,1073307,1073307-7,N/A,150305025,O.L.,UW,SP:C120,A,20150728,11167,100%,,20150728,UW,N/A,,,,,,
ATAPL-68030-20001,"50M ROV MASSP, CAMDS, THSPH Electrical Jumper, ROV CE Plug to MHDXL",1,Teledyne ODI,1073306,1073306-1,N/A,130115032,O.L.,UW,VISIONS2014:MJ03C,A,20130605,12886,100%,,20130605,UW,N/A,,,,,,
ATAPL-68030-20002,"50M ROV MASSP, CAMDS, THSPH Electrical Jumper, ROV CE Plug to MHDXL",1,Teledyne ODI,1073306,1073306-2,N/A,130115032,O.L.,UW,SP:C120:BAY5,A,20130605,12886,100%,,20130605,UW,N/A,,,,,,
ATAPL-68030-20003,"50M ROV MASSP, CAMDS, THSPH Electrical Jumper, ROV CE Plug to MHDXL",1,Teledyne ODI,1073306,1073306-3,N/A,130115032,O.L.,UW,VISIONS2014:MJ03C,A,20130723,12886,100%,,20130723,UW,N/A,,,,,,
ATAPL-68030-20004,"50M ROV MASSP, CAMDS, THSPH Electrical Jumper, ROV CE Plug to MHDXL",1,Teledyne ODI,1073306,1073306-4,N/A,130115032,O.L.,UW,SP:C120:BAY5,A,20131007,12886,100%,,20131007,UW,N/A,,,,,,
ATAPL-68030-20005,"50M ROV MASSP, CAMDS, THSPH Electrical Jumper, ROV CE Plug to MHDXL",1,Teledyne ODI,1073306,1073306-5,N/A,130115032,O.L.,UW,SP:C120:BAY5,A,20131007,12886,100%,,20131007,UW,N/A,,,,,,
ATAPL-68030-20006,"50M ROV MASSP, CAMDS, THSPH Electrical Jumper, ROV CE Plug to MHDXL",1,Teledyne ODI,1073306,1073306-6,N/A,130115032,O.L.,UW,SP:C120:BAY5,A,20131007,12886,100%,,20131007,UW,N/A,,,,,,
ATAPL-68030-20007,,,,,,,,,,,,,,,,,,,,,,,,
ATAPL-68030-20008,,,,,,,,,,,,,,,,,,,,,,,,
ATAPL-68030-20009,"50M ROV MASSP, CAMDS, THSPH Electrical Jumper, ROV CE Plug to MHDXL",1,Teledyne ODI,1073306,1073306-9,N/A,150305025,O.L.,UW,SP:C120,A,20150729,12886,100%,,20150729,UW,N/A,,,,,,
ATAPL-68030-20010,"50M ROV MASSP, CAMDS, THSPH Electrical Jumper, ROV CE Plug to MHDXL",1,Teledyne ODI,1073306,1073306-10,N/A,150305025,O.L.,UW,SP:C120,A,20150729,12886,100%,,20150729,UW,N/A,,,,,,
ATAPL-68073-00001,ADCP E-WHM150-6000m (ADCPT-E),1,TELEDYNE RDI,WHM150-6000m,18471,,120606001,O.L.,UW,,A,20120919,53533,100%,,20120919,UW,N/A,,,,,,
ATAPL-68073-00002,ADCP E-WHM150-6000m (ADCPT-E)  (O&M),1,TELEDYNE RDI,WHM150-6000m,18813,,121005015,O.L.,UW,VISIONS2014:LJ01A,A,20130201,53533,100%,,20130201,UW,N/A,,,,,,
ATAPL-68073-00003,ADCP E-WHM150-6000m (ADCPT-E),1,TELEDYNE RDI,WHM150-6000m,19224,,121005015,O.L.,UW,VISIONS2014:LJ03A,A,20130201,53533,100%,,20130201,UW,N/A,,,,,,
ATAPL-68073-00004,ADCP E-WHM150-6000m (ADCPT-E),1,TELEDYNE RDI,WHM150-6000m,23442,,150318017,O.L.,UW,,A,20150529,56791,100%,,20150529,UW,N/A,,,,,,
ATAPL-68073-00005,ADCP E-WHM150-6000m (ADCPT-E),1,TELEDYNE RDI,WHM150-6000m,23443,,150318017,O.L.,UW,CAV2015:,A,20150529,56791,100%,,20150529,UW,N/A,,,,,,
ATAPL-68836-00001,"Ballast Ring, SP Frame",1,APL/UW,68836,1,N/A,130409009,O.L.,UW,HH:6F612:WAITE,A,20130501,5224.7,100%,,20130501,UW,N/A,,,,,,
ATAPL-68836-00002,"Ballast Ring, SP Frame",1,APL/UW,68836,4815-68836,N/A,140331029,O.L.,UW,SP:C120,A,20130501,5224.7,100%,,20130501,UW,N/A,,,,,,
ATAPL-68836-00003,"Ballast Ring, SP Frame",1,APL/UW,68836,4815-68836,N/A,140331029,O.L.,UW,SP:C120,A,20130501,5224.7,100%,,20130501,UW,N/A,,,,,,
ATAPL-68836-00004,"Ballast Ring, SP Frame",1,APL/UW,68836,4815-68836,N/A,140331029,O.L.,UW,CAV15,A,20141215,5224.7,100%,,20141215,UW,N/A,,,,,,
ATAPL-68836-00005,"Ballast Ring, SP Frame",1,APL/UW,68836,4815-68836,N/A,140331029,O.L.,UW,CAV15,A,20141215,5224.7,100%,,20141215,UW,N/A,,,,,,
ATAPL-68836-00006,"Ballast Ring, SP Frame",1,APL/UW,68836,4815-68836,N/A,140331029,O.L.,UW,CAV15,A,20141215,5224.7,100%,,20141215,UW,N/A,,,,,,
ATAPL-68862-00001,Flotation Tech Science Pod Float - Base,1,Deep Water Bouyancy,68862,1,N/A,121012007,O.L.,UW,BH:1F123:VMP,A,20130610,10000,100%,,20130610,UW,N/A,,,,,,
ATAPL-68862-00002,SCIENCE POD FLOAT - BASE,1,Deep Water Bouyancy,68862,2,N/A,140131024,O.L.,UW,VISIONS2014,A,20140819,10765,100%,,20140819,UW,N/A,,,,,,
ATAPL-68862-00003,SCIENCE POD FLOAT - BASE,1,Deep Water Bouyancy,68862,3,N/A,140131024,O.L.,UW,VISIONS2014,A,20140827,10765,100%,,20140827,UW,N/A,,,,,,
ATAPL-68862-00004,"SCIENCE POD, FLOAT - BASE",1,Deep Water Bouyancy,68862,4,N/A,150213010,O.L.,UW,SP:C120,A,20150504,10765,100%,,20150504,UW,N/A,,,,,,
ATAPL-68862-00005,"SCIENCE POD, FLOAT - BASE",1,Deep Water Bouyancy,68862,5,N/A,150213010,O.L.,UW,SP:C120,A,20150504,10765,100%,,20150504,UW,N/A,,,,,,
ATAPL-68862-00006,"SCIENCE POD, FLOAT - BASE",1,Deep Water Bouyancy,68862,6,N/A,150213010,O.L.,UW,SP:C120,A,20150504,10765,100%,,20150504,UW,N/A,,,,,,
ATAPL-68865-00001,Flotation Tech Science Pod Float - Center,1,Deep Water Bouyancy,68865,1,N/A,121012007,O.L.,UW,BH:1F123:VMP,A,20130610,10000,100%,,20130610,UW,N/A,,,,,,
ATAPL-68865-00002,SCIENCE POD FLOAT - CENTER,1,Deep Water Bouyancy,68865,2,N/A,140131024,O.L.,UW,VISIONS2014,A,20140819,15873,100%,,20140819,UW,N/A,,,,,,
ATAPL-68865-00003,SCIENCE POD FLOAT - CENTER,1,Deep Water Bouyancy,68865,3,N/A,140131024,O.L.,UW,VISIONS2014,A,20140827,15873,100%,,20140827,UW,N/A,,,,,,
ATAPL-68865-00004,"SCIENCE POD, FLOAT - CENTER",1,Deep Water Bouyancy,68865,4,N/A,150213010,O.L.,UW,SP:C120,A,20150504,16873,100%,,20150504,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68865-00005,"SCIENCE POD, FLOAT - CENTER",1,Deep Water Bouyancy,68865,5,N/A,150213010,O.L.,UW,SP:C120,A,20150504,16873,100%,,20150504,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68865-00006,"SCIENCE POD, FLOAT - CENTER",1,Deep Water Bouyancy,68865,6,N/A,150213010,O.L.,UW,SP:C120,A,20150504,16873,100%,,20150504,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68866-00001,Flotation Tech Science Pod Float - Top,1,Deep Water Bouyancy,68866,1,N/A,121012007,O.L.,UW,BH:1F123:VMP,A,20130610,10000,100%,,20130610,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68866-00002,"SCIENCE POD, FLOAT - TOP",1,Deep Water Bouyancy,68866,2,N/A,140131024,O.L.,UW,VISIONS2014,A,20140819,5020,100%,,20140819,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68866-00003,"SCIENCE POD, FLOAT - TOP",1,Deep Water Bouyancy,68866,3,N/A,140131024,O.L.,UW,VISIONS2014,A,20140827,5020,100%,,20140827,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68866-00004,"SCIENCE POD, FLOAT - TOP",1,Deep Water Bouyancy,68866,4,N/A,150213010,O.L.,UW,SP:C120,A,20150504,5020,100%,,20150504,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68866-00005,"SCIENCE POD, FLOAT - TOP",1,Deep Water Bouyancy,68866,5,N/A,150213010,O.L.,UW,SP:C120,A,20150504,5020,100%,,20150504,UW,N/A,,,,,,
ATAPL-68866-00006,"SCIENCE POD, FLOAT - TOP",1,Deep Water Bouyancy,68866,6,N/A,150213010,O.L.,UW,SP:C120,A,20150504,5020,100%,,20150504,UW,N/A,,,,,,
ATAPL-68870-001-0140,MOORING RSN,1,,RS01SBPS-SF01A,SN0140,,,,,,A,,,,,,,,,,,,,
ATAPL-68870-001-0142,MOORING RSN,1,,RS03AXPS-SF03A,SN0142,,,,,,,,,,,,,,,,,,,
ATAPL-68870-001-0143,MOORING RSN,1,,RS01SBPS-SF01A,SN0143,,,,,,A,,,,,,,,,,,,,
ATAPL-68870-001-0145,MOORING RSN,1,,RS03AXPS-SF03A,SN0145,,,,,,,,,,,,,,,,,,,
ATAPL-68870-002-0141,MOORING ENDURANCE OS,1,WHOI,CE04OSPS-SF01B,SN0141,,,,,,A,,,,,,,,,,,,,
ATAPL-68870-002-0144,MOORING ENDURANCE OS,1,WHOI,CE04OSPS-SF01B,SN0144,,,,,,A,,,,,,,,,,,,,
ATAPL-68871-00001,"SCIP HOUSING, PRESSURE CYLINDER",1,APL/UW,68871,1,N/A,121128015,O.L.,UW,BH:1F123:VMP,A,20130219,7000,100%,,20130219,UW,N/A,,,,,,
ATAPL-68871-00002,"SCIP HOUSING, PRESSURE CYLINDER",1,APL/UW,68871,2,N/A,140224024,O.L.,UW,BH:1F123:VMP,A,20140721,7000,100%,,20140721,UW,N/A,,,,,,
ATAPL-68871-00003,"SCIP HOUSING, PRESSURE CYLINDER",1,APL/UW,68871,3,N/A,140224024,O.L.,UW,BH:1F123:VMP,A,20140721,7000,100%,,20140721,UW,N/A,,,,,,
ATAPL-68871-00004,"SCIP HOUSING, PRESSURE CYLINDER",1,APL/UW,68871,4,N/A,140224024,O.L.,UW,BH:1F123:VMP,A,20141015,7000,100%,,20141015,UW,N/A,,,,,,
ATAPL-68871-00005,"SCIP HOUSING, PRESSURE CYLINDER",1,APL/UW,68871,5,N/A,140224024,O.L.,UW,BH:1F123:VMP,A,20141015,7000,100%,,20141015,UW,N/A,,,,,,
ATAPL-68871-00006,"SCIP HOUSING, PRESSURE CYLINDER",1,APL/UW,68871,6,N/A,140224024,O.L.,UW,BH:1F123:VMP,A,20141015,7000,100%,,20141015,UW,N/A,,,,,,
ATAPL-68872-00001,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",1,APL/UW,68872,1,N/A,121128015,O.L.,UW,BH:1F123:VMP,A,20130219,5000,100%,,20130219,UW,1311981,,,,,,
ATAPL-68872-00002,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",1,APL/UW,68872,2,N/A,140224024,O.L.,UW,BH:1F123:MCRAE,A,20140721,5000,100%,,20140721,UW,1312145,,,,,,
ATAPL-68872-00003,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",1,APL/UW,68872,3,N/A,140224024,O.L.,UW,BH:1F123:VMP,A,20140721,5000,100%,,20140721,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68872-00004,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",1,APL/UW,68872,4,N/A,140224024,O.L.,UW,BH:1F123:VMP,A,20140721,5000,100%,,20140721,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68872-00005,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",1,APL/UW,68872,5,N/A,140224024,O.L.,UW,BH:1F123:VMP,A,20140721,5000,100%,,20140721,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68872-00006,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",1,APL/UW,68872,6,N/A,140224024,O.L.,UW,BH:1F123:MCRAE,A,20140721,5000,100%,,20140721,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68872-00007,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",1,APL/UW,68872,7,N/A,140224024,O.L.,UW,BH:1F123:MCRAE,A,20140721,5000,100%,,20140721,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68873-00001,"SCIP HOUSING, PRESSURE CAP, CONNECTOR SIDE",1,APL/UW,68873,4815-68873,N/A,121128015,O.L.,UW,SP:C120,A,41324,5000,1,,41324,UW,N/A,,,,,,
ATAPL-68941-00001,"CONNECTOR END CAP, PIC",1,APL/UW,68941,1,N/A,140224024,O.L.,UW,BH:1F123:VMP,A,20141022,5000,100%,,20141022,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68941-00002,"CONNECTOR END CAP, PIC",1,APL/UW,68941,2,N/A,140224024,O.L.,UW,BH:1F123:VMP,A,20140711,5000,100%,,20140711,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68941-00003,"CONNECTOR END CAP, PIC",1,APL/UW,68941,3,N/A,140224024,O.L.,UW,HH:LOADINGDOCK,A,20140711,5000,100%,,20140711,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68941-00004,"CONNECTOR END CAP, PIC",1,APL/UW,68941,4,N/A,140224024,O.L.,UW,HH:LOADINGDOCK,A,20140711,5000,100%,,20140711,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68941-00005,"CONNECTOR END CAP, PIC",1,APL/UW,68941,5,N/A,140224024,O.L.,UW,BH:1F123:VMP,A,20140711,5000,100%,,20140711,UW,N/A,,,,9/4/2015,DOI,
ATAPL-68941-00006,"CONNECTOR END CAP, PIC",1,APL/UW,68941,6,N/A,140224024,O.L.,UW,BH:1F123:VMP,A,20140711,5000,100%,,20140711,UW,N/A,,,,9/4/2015,DOI,
ATAPL-69110-00001,"MAIN FLOAT, MOORING PLATFORM, 3000M ADDITION",1,Deep Water Bouyancy,69110,1,N/A,140131024,O.L.,UW,VISIONS2014,A,20140819,33815,100%,,20140819,UW,N/A,,,,9/4/2015,DOI,
ATAPL-69110-00002,"MAIN FLOAT, MOORING PLATFORM, 3000M ADDITION",1,deep Water Bouyancy,69110,2,N/A,140131024,O.L.,UW,VISIONS2014,A,20140827,33815,100%,,20140827,UW,N/A,,,,9/4/2015,DOI,
ATAPL-69115-00001,"FLOTATION BLOCK, TOP, SHALLOW  PIA",1,deep Water Bouyancy,69115,1,N/A,150213010,O.L.,UW,SP:C120,A,20150504,7061,100%,,20150504,UW,N/A,,,,9/4/2015,DOI,
ATAPL-69131-00001,Shallow Profiler Frame Weldment,1,APL/UW,69131,1,N/A,130611008,O.L.,UW,BH:1F123:VMP,A,20131025,25000,100%,,20131025,UW,N/A,,,,9/4/2015,DOI,
ATAPL-69131-00002,FRAME ASSEMBLY WELDMENT,1,APL/UW,69131,2,N/A,140310017,O.L.,UW,SP:C120,A,20140818,64085,100%,,20140818,UW,N/A,,,,9/4/2015,DOI,
ATAPL-69131-00003,FRAME ASSEMBLY WELDMENT,1,APL/UW,69131,3,N/A,140310017,O.L.,UW,SP:C120,A,20140924,64085,100%,,20140924,UW,N/A,,,,9/4/2015,DOI,
ATAPL-69131-00004,FRAME ASSEMBLY WELDMENT,1,APL/UW,69131,4,N/A,140310017,O.L.,UW,SP:C120,A,20141022,64085,100%,,20141022,UW,N/A,,,,9/4/2015,DOI,
