OOI BARCODE,DESCRIPTION OF EQUIPMENT,QUANT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,Source of the Equipment/Award No. or PO No.,Whether Title Vests in Recipient or Federal Gov,LOCATION,ROOM NUMBER/CUSTODY,COND.,ACQUISITION DATE,ORIGINAL COST,PERCENTAGE OF FEDERAL PARTICIPATION,comments,primary_tag_date,primary_tag_organization,primary_institute_asset_tag,secondary_tag_date,second_tag_organization,institute_asset_tag,doi_tag_date,doi_tag_organization,doi_institute_asset_tag
A00033,BUOY SYSTEM CART POP UP,1,ORE OFF SHORE,POPUP,34775,,A100653,WHOI,UNV,OSU,A,20110620,6983.74,100%,,20110620,WHOI,114662,6/20/2011,OSU,324013,,,
A00034,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00035,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00036,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00037,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00038,,,,,,,,,,,,,,,Missing from inventory,,,,,,,,,
A00039,COMPUTER WORKSTATION,1,DELL,T7500,1PVYNNI,,A100549,WHOI,UNV,SIO,AC,20101129,5229.63,100%,Missing from inventory,20101129,WHOI,,11/29/2010,SIO,126000373,,,
A00040,COMPUTER WORKSTATION,1,DELL,T7500,1PTXNN1,,A100549,WHOI,UNV,SIO,AC,20101129,5229.63,100%,Missing from inventory,20101129,WHOI,,11/29/2010,SIO,126000375,,,
A00041,LOAD CELL,1,FABRICATED,N/A,1,,A100759,WHOI,ATS,SEA,A,20110310,9412.5,100%,,20110310,WHOI,114708,3/10/2011,SIO,116030259,,,
A00042,PRINTER DESKJET,1,HP,T1200PS,CN13C4H00M,,A100549,WHOI,UNV,SIO,AC,20110425,9171.66,100%,Missing from inventory,20110425,WHOI,,4/25/2011,SIO,126000376,,,
A00043,MOORING PIONEER COASTAL PROFIL,1,WHOI,AS02CPPM-00001,N/A,,FABRICAT,WHOI,LOSO,HIBA,A,20110919,523113,100%,,20110919,WHOI,114743,,,,,,
A00044,MOORING PIONEER COASTAL SURFAC,1,WHOI,AS02CPSM-0001,N/A,,FABRICAT,WHOI,CRL,HIBA,A,20110919,1729923,100%,6/8/2012,20110919,WHOI,114744,,,,,,
A00045,COASTAL GLIDER 1000M,1,TELEDYNE WEBB RESEARCH,CSG-1000,247,,J100005A,WHOI,UNV,OSU,A,20111007,201685,100%,,20111007,WHOI,114762,2/1/2012,OSU,324528,,,
A00046,LOAD CELL,1,FABRICATED,N/A,PN-11106-3,,A100759,WHOI,ATS,SEA,A,20110310,9412.5,100%,,20110310,WHOI,114816,3/10/2011,SIO,116030258,,,
A00047,LOAD ELECTRONIC PROGRAMMABLE,1,BK PRESION,8522,2.02E+15,,E113815,WHOI,BIG,312,A,20120201,6975,100%,,20120201,WHOI,114851,,,,,,
A00048,VELPT SERIES B (AQUADOPP 3000M,1,NORTEK,AQUADOPP-3000M,AQD 9952,,E113790,WHOI,LOSO,102,A,20150604,11150,100%,,20150604,WHOI,114872,,,,9/4/2015,DOI,
A00049,VELPT SERIES B (AQUADOPP 3000M,1,NORTEK,AQUADOPP-3000M,AQD 9984,3.37,E113790,WHOI,ATS,SEA,A,20150604,11150,100%,,20150604,WHOI,114873,,,,9/4/2015,DOI,
A00050,PCO2A SERIES A (PCO2/ATM-50A),1,PRO-OCEANUS,PCO2ATM-50A,31-124-50A,,D100168,WHOI,LOSO,202,A,20120228,28732,100%,,20120228,WHOI,114878,,,,9/4/2015,DOI,
A00051,PRESF SERIES B (26PLUS),1,SEA-BIRD ELECTRONICS,26Plus,26P64515-1329,,J100007,WHOI,ATS,SEA,A,20120405,13450,100%,,20120405,WHOI,114940,,,,9/4/2015,DOI,
A00052,PRESF SERIES B (26 PLUS),1,SEA-BIRD ELECTRONICS,26Plus,26P64515-1328,,J100007,WHOI,UNV,OSU,A,20120405,13450,100%,,20120405,WHOI,114941,11/29/2012,OSU,325055,9/4/2015,DOI,
A00053,"COMPUTER SERVER, SECURE SYNC",1,SPECTRACOM,1200-093,1136,,A100653,WHOI,UNV,OSU,A,20111004,6166,100%,,20111004,WHOI,115024,12/16/2011,OSU,324427,,,
A00054,CTDBP SERIES C (C-16PLUSV2),1,SEA-BIRD ELECTRONICS,C-16PLUSV2,16P64183-6841,,E113368,WHOI,ATS,SEA,A,20150604,8970,100%,,20150604,WHOI,114540,,,,9/4/2015,DOI,
A00055,ADCP SERIES M (WHS600-500),1,TELEDYNE RDI,WHS600-500,18222,,J100014,WHOI,UNV,OSU,A,20120822,21577.5,100%,,20120822,WHOI,115068,8/22/2012,OSU,324979,9/4/2015,DOI,
A00056,ADCP SERIES A (WH600-500),1,TELEDYNE RDI,WHS600-500,18225,,J100014,WHOI,UNV,OSU,A,20120822,24822,100%,,20120822,WHOI,115069,8/22/2012,OSU,324980,9/4/2015,DOI,
