,RefDes,Method,Stream,pdId,Parameter Name,Units,Data Product Identifier,Level,Gross Range Values
771,CP01CNSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(-2.0, 40.0)"
774,CP03ISSM-MFD37-03-CTDBPD000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(-2.0, 40.0)"
776,CP03ISSM-RID27-03-CTDBPC000,bad_recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(-2.0, 40.0)"
779,CP03ISSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(-2.0, 40.0)"
782,CP04OSSM-MFD37-03-CTDBPE000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(-2.0, 40.0)"
785,CP04OSSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(-2.0, 40.0)"
787,GA01SUMO-RID16-03-CTDBPF000,bad_recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(-2.0, 40.0)"
789,GA01SUMO-RID16-03-CTDBPF000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(-2.0, 40.0)"
792,GA01SUMO-RII11-02-CTDBPP031,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(None, None)"
795,GA01SUMO-RII11-02-CTDBPP032,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(None, None)"
798,GA01SUMO-RII11-02-CTDBPP033,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(None, None)"
800,GI01SUMO-RID16-03-CTDBPF000,bad_recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(-2.0, 40.0)"
802,GI01SUMO-RID16-03-CTDBPF000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(-2.0, 40.0)"
805,GI01SUMO-RII11-02-CTDBPP031,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(None, None)"
808,GI01SUMO-RII11-02-CTDBPP032,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(None, None)"
811,GI01SUMO-RII11-02-CTDBPP033,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(None, None)"
814,GS01SUMO-RID16-03-CTDBPF000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(-2.0, 40.0)"
820,GS01SUMO-RII11-02-CTDBPP032,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(None, None)"
824,GS01SUMO-RII11-02-CTDBPP033,recovered_inst,ctdbp_cdef_instrument_recovered,PD2819,ctdbp_seawater_temperature,ºC,TEMPWAT_L1,L1,"(None, None)"
827,CP01CNSM-MFD37-03-CTDBPD000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(0.0, 6000.0)"
830,CP01CNSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(0.0, 6000.0)"
833,CP03ISSM-MFD37-03-CTDBPD000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(0.0, 6000.0)"
835,CP03ISSM-RID27-03-CTDBPC000,bad_recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(0.0, 6000.0)"
838,CP03ISSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(0.0, 6000.0)"
841,CP04OSSM-MFD37-03-CTDBPE000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(0.0, 6000.0)"
844,CP04OSSM-RID27-03-CTDBPC000,recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(0.0, 6000.0)"
846,GA01SUMO-RID16-03-CTDBPF000,bad_recovered_inst,ctdbp_cdef_instrument_recovered,PD2820,ctdbp_seawater_pressure,dbar,PRESWAT_L1,L1,"(0.0, 6000.0)"
