ASSET_UID,TYPE,Mobile,Geometry,DESCRIPTION OF EQUIPMENT,QUANT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,Source of the Equipment/Award No. or PO No.,Whether Title Vests in Recipient or Federal Gov,LOCATION,ROOM NUMBER/CUSTODY,COND.,ACQUISITION DATE,ORIGINAL COST,PERCENTAGE OF FEDERAL PARTICIPATION,comments,primary_tag_date,primary_tag_organization,primary_institute_asset_tag,secondary_tag_date,second_tag_organization,institute_asset_tag,doi_tag_date,doi_tag_organization,doi_institute_asset_tag
ATAPL-68073-00005,Sensor,0,,ADCP E-WHM150-6000m (ADCPT-E),1,TELEDYNE RDI,WHM150-6000m,23443,N/A,111213012,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68836-00001,,,,"Ballast Ring, SP Frame",,APL/UW,68836,1,N/A,111213012,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68836-00002,,,,"Ballast Ring, SP Frame",,APL/UW,68836,4815-68836,N/A,111213012,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68836-00003,,,,"Ballast Ring, SP Frame",,APL/UW,68836,4815-68836,N/A,111213012,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68836-00004,,,,"Ballast Ring, SP Frame",,APL/UW,68836,4815-68836,N/A,120904015,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68836-00005,,,,"Ballast Ring, SP Frame",,APL/UW,68836,4815-68836,N/A,120904015,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68836-00006,,,,"Ballast Ring, SP Frame",,APL/UW,68836,4815-68836,N/A,120904015,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68862-00001,,,,Flotation Tech Science Pod Float - Base,,Deep Water Bouyancy,68862,1,N/A,120904015,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68862-00002,,,,SCIENCE POD FLOAT - BASE,,Deep Water Bouyancy,68862,2,N/A,120904015,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68862-00003,,,,SCIENCE POD FLOAT - BASE,,Deep Water Bouyancy,68862,3,N/A,120904015,O.L.,UW,VISIONS2014,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68862-00004,,,,"SCIENCE POD, FLOAT - BASE",,Deep Water Bouyancy,68862,4,N/A,120904015,O.L.,UW,VISIONS2014:MJ03A,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68862-00005,,,,"SCIENCE POD, FLOAT - BASE",,Deep Water Bouyancy,68862,5,N/A,120904015,O.L.,UW,VISIONS2014:MJ03A,A,,7438,100%,,A,UW,N/A,,,,,,
ATAPL-68862-00006,,,,"SCIENCE POD, FLOAT - BASE",,Deep Water Bouyancy,68862,6,N/A,120904015,O.L.,UW,VISIONS2014:MJ01A,A,,7438,100%,,A,UW,N/A,,,,,,
